,Mean,Median,Std
ASTRAZEN.NS,949.497727273,948.8,14.0553927189
ATUL.NS,2152.79659091,2125.125,112.182128908
AUROPHARMA.NS,688.653409091,694.675,22.7421016131
AVANTIFEED.NS,533.778409091,542.625,41.9359747291
AXISBANK.NS,463.153409091,459.85,17.1483181009
BAJAJCORP.NS,372.984090909,372.85,12.6817565943
BAJAJELEC.NS,228.818181818,228.2,12.8299118656
BAJAJFINSV.NS,3037.51704318,3017.54995,286.882223261
BAJAJHIND.NS,14.4102272727,14.425,0.851986703238
BAJAJHLDNG.NS,1911.29431818,1898.85,86.5685574639
BAJFINANCE.NS,912.410224318,897.95001,89.1443213643
BALKRISIND.NS,1119.29886364,1123.25,36.6384892432
BALLARPUR.NS,15.8852272727,15.8,0.417158096384
BALMLAWRIE.NS,423.119318182,229.7,363.646418996
BALRAMCHIN.NS,134.501136364,137.65,12.8734921837
BANKBARODA.NS,160.640909091,158.775,11.0549119501
BANKINDIA.NS,114.877272727,114.075,8.16580686101
BASF.NS,1155.12727273,1145.625,66.5852203156
BATAINDIA.NS,459.822727273,465.475,29.1113588766
BBTC.NS,539.892045455,543.0,39.403712408
BEL.NS,1475.92727273,1497.875,68.9704684482
BEML.NS,1100.72727273,1164.65,138.727062405
BERGEPAINT.NS,210.711363409,212.825005,8.61130699154
BFUTILITIE.NS,391.039772727,393.175,12.2575870171
BGRENERGY.NS,126.190909091,129.5,11.8793561054
BHARATFIN.NS,669.054545455,661.425,89.0870411962
BHARATFORG.NS,942.750002273,942.350005,28.7085559036
BHARTIARTL.NS,320.863636364,318.55,18.0007246742
BHEL.NS,129.847727273,127.95,9.66633425712
BHUSANSTL.NS,47.2227272727,42.475,8.34285277282
BIOCON.NS,986.804545455,992.45,50.8581220997
BIRLACORPN.NS,682.501136364,695.25,46.3258635992
BLISSGVS.NS,155.518181818,154.95,4.71647398486
BLUEDART.NS,4418.27045455,4439.05,101.752251743
BLUESTARCO.NS,497.1,496.2,32.1552429809
BOMDYEING.NS,52.1409090909,53.425,4.29539061666
BOSCHLTD.NS,21197.5295455,21128.8,1131.20528159
BPCL.NS,658.9375,659.8,36.8393244847
BRFL.NS,147.779545455,149.1,6.73986162115
BRIGADE.NS,155.1875,155.375,4.33381947929
BRITANNIA.NS,3000.09886591,2944.72495,145.894847512
CADILAHC.NS,361.565911364,359.45001,11.7640466761
CAIRN.NS,262.073863636,262.425,13.8623317975
CANBK.NS,284.020454545,282.35,15.8779550195
CANFINHOME.NS,1719.11590909,1696.925,149.119052942
CAPF.NS,597.579545455,602.75,52.9285260914
CAPLIPOINT.NS,382.052272727,382.825,40.1924439771
CARBORUNIV.NS,252.242045455,253.9,7.24638597318
CARERATING.NS,1375.24659091,1383.05,48.7360384274
CASTROLIND.NS,391.85,392.625,16.4852294706
CCL.NS,278.073863636,267.8,20.4914772092
CEATLTD.NS,1188.68636364,1185.475,35.449215827
CENTRALBK.NS,84.3477272727,83.475,2.40595082364
CENTURYPLY.NS,180.640909091,178.275,17.4546031535
CENTURYTEX.NS,822.093181818,817.25,45.1324634244
CERA.NS,2106.77045455,2080.325,141.852818548
CESC.NS,680.890909091,660.2,60.8292857796
CHAMBLFERT.NS,77.6409090909,80.425,6.62193564696
CHENNPETRO.NS,310.786363636,327.7,32.7905711129
CHOLAFIN.NS,959.385227273,954.7,65.3463390013
CIPLA.NS,577.434092727,577.274995,11.7352454589
COALINDIA.NS,305.451136364,306.175,11.4875235083
COFFEEDAY.NS,198.915909091,198.7,4.45185841423
COLPAL.NS,899.304545455,898.975,8.93578394279
CONCOR.NS,1166.79772727,1178.55,56.8968394865
COROMANDEL.NS,310.189772727,320.45,24.4170131774
CORPBANK.NS,43.6965909091,42.8,3.08976927202
CRISIL.NS,2156.94431818,2169.05,65.1317744911
CROMPGREAV.NS,62.7465909091,62.05,4.11910463469
CUB.NS,140.471590682,138.925,10.8163072247
CUMMINSIND.NS,832.390909091,830.125,35.1783021007
CYIENT.NS,483.314772727,486.25,16.6616520425
DABUR.NS,274.418182273,276.125,5.24126128931
DALMIABHA.NS,1652.49090909,1626.85,206.853114179
DBCORP.NS,364.475,361.125,9.5988522812
DBREALTY.NS,39.6977272727,39.625,2.11772570378
DCBBANK.NS,115.603409091,115.175,8.89716049378
DCMSHRIRAM.NS,244.732954545,262.375,30.1126025212
DEEPAKFERT.NS,235.346590909,231.975,27.6197759403
DELTACORP.NS,120.311363636,124.625,11.5179478936
DEN.NS,76.9727272727,72.9,9.71598092898
DENABANK.NS,34.6977272727,34.3,2.14174875694
DHANUKA.NS,740.393181818,736.15,27.2093661006
DHFL.NS,263.922727273,260.125,22.9883348946
DISHMAN.NS,228.044318182,229.375,11.4944335158
DISHTV.NS,85.5818181818,85.825,1.87938915451
DIVISLAB.NS,826.198863636,749.25,169.981649656
DLF.NS,125.688636364,126.0,12.2549461473
DREDGECORP.NS,433.353409091,444.35,37.6089817911
DRREDDY.NS,3043.04659318,3039.3501,62.821956275
DYNAMATECH.NS,2955.02272727,2945.425,91.4642231838
ECLERX.NS,1439.51704545,1431.875,51.3577635525
EDELWEISS.NS,103.923863636,100.85,10.8270091247
EICHERMOT.NS,22476.0659091,22620.85,948.774052045
EIDPARRY.NS,273.426136364,279.875,17.3480093645
EIHOTEL.NS,98.4534090909,98.825,3.05413173684
EMAMILTD.NS,1032.58977273,1022.5,54.4061968294
ENGINERSIN.NS,250.008522727,154.625,172.421609248
EQUITAS.NS,156.989772727,152.2,12.4799866742
EROSMEDIA.NS,172.894318182,172.2,9.04720961678
ESCORTS.NS,339.055681818,341.875,34.2458081222
ESSELPACK.NS,247.475,246.5,3.84894277239
EVEREADY.NS,228.793181818,228.75,14.127766619
EXIDEIND.NS,187.325,184.325,12.1092435383
FAGBEARING.NS,3926.07727273,3895.625,111.472907051
FDC.NS,217.490909091,218.025,4.7348322424
FEDERALBNK.NS,72.8829545455,71.65,6.50997395042
FINCABLES.NS,423.435227273,416.95,15.9741563796
FINPIPE.NS,451.943181818,445.475,23.2804728807
FLFL.NS,147.785227273,141.4,23.5976486303
FORTIS.NS,185.579545455,185.125,6.4045615846
FSL.NS,34.75,34.75,0.0
GAIL.NS,449.264772727,442.1,22.9318038001
GATI.NS,118.190909091,118.8,4.1691178132
GAYAPROJ.NS,2905.959325,3215.2501,846.789798068
GDL.NS,241.786363636,241.25,11.0165645029
GEPIL.NS,533.742045455,534.075,59.7273796271
GESHIP.NS,377.827272727,382.45,13.7143764941
GILLETTE.NS,4243.40909091,4222.3,40.0273762026
GLAXO.NS,2727.98863636,2728.075,14.4743834011
GLENMARK.NS,906.434090909,897.9,24.6342637462
GMDCLTD.NS,105.465909091,104.55,11.362974209
GMRINFRA.NS,12.4761363636,12.55,0.752784647265
GODFRYPHLP.NS,1003.29772727,1035.125,75.55523542
GODREJCP.NS,1525.51363636,1539.7,55.885603009
GODREJIND.NS,436.568180682,432.90001,28.209928649
