,Beta,Alpha
LUPIN.NS,0.98,-0.0
MAGMA.NS,0.93,-0.0
MAHINDCIE.NS,1.22,-0.0
MAHLIFE.NS,0.55,-0.0
MANAPPURAM.NS,2.56,0.0
MANPASAND.NS,1.17,0.0
MARICO.NS,0.48,0.0
MARKSANS.NS,0.26,-0.0
MARUTI.NS,1.13,0.0
MAYURUNIQ.NS,0.57,0.0
MCLEODRUSS.NS,0.81,0.0
MERCK.NS,0.47,-0.0
MFSL.NS,0.9,0.0
MHRIL.NS,0.37,0.0
MINDTREE.NS,0.75,-0.0
MMTC.NS,1.0,0.0
MOIL.NS,1.09,-0.0
MONSANTO.NS,0.35,-0.0
MOTHERSUMI.NS,1.08,-0.0
MOTILALOFS.NS,1.64,-0.0
MPHASIS.NS,0.55,0.0
MRF.NS,1.26,-0.0
MRPL.NS,1.91,0.0
MTNL.NS,0.27,0.01
MUTHOOTFIN.NS,2.35,-0.0
MYSOREBANK.NS,1.24,-0.0
NATCOPHARM.NS,-0.27,0.01
NATIONALUM.NS,2.6,-0.0
NAUKRI.NS,0.49,-0.0
NAVINFLUOR.NS,0.17,0.0
NAVKARCORP.NS,0.98,-0.0
NBCC.NS,0.95,-0.0
NCC.NS,1.58,-0.0
NETWORK18.NS,1.23,-0.0
NH.NS,-0.05,-0.0
NHPC.NS,1.17,0.0
NIITTECH.NS,0.24,-0.0
NILKAMAL.NS,1.04,0.0
NITINFIRE.NS,1.37,0.0
NLCINDIA.NS,1.83,0.0
NMDC.NS,1.19,0.0
NTPC.NS,0.77,-0.0
OBEROIRLTY.NS,0.9,-0.0
OCL.NS,2.02,0.0
OFSS.NS,0.44,0.0
OIL.NS,2.89,-0.01
OMAXE.NS,0.74,0.0
ONGC.NS,0.84,-0.0
ORIENTBANK.NS,1.87,-0.0
ORIENTCEM.NS,1.44,-0.0
ORISSAMINE.NS,0.74,-0.0
PAGEIND.NS,1.0,-0.0
PCJEWELLER.NS,0.48,0.0
PEL.NS,2.02,-0.0
PERSISTENT.NS,-0.01,0.0
PETRONET.NS,1.29,-0.0
PFC.NS,1.9,-0.0
PFIZER.NS,0.35,-0.0
PFS.NS,1.42,-0.0
PGHH.NS,0.47,0.0
PHOENIXLTD.NS,0.25,-0.0
PIDILITIND.NS,1.07,0.0
PIIND.NS,0.69,0.0
PNB.NS,1.75,-0.0
PNCINFRA.NS,0.43,-0.0
POLARIS.NS,0.85,-0.0
POWERGRID.NS,0.69,0.0
PRAJIND.NS,0.75,-0.0
PRESTIGE.NS,0.16,0.0
PRISMCEM.NS,2.41,-0.0
PTC.NS,1.69,0.0
PUNJLLOYD.NS,1.32,-0.0
PVR.NS,0.95,0.0
RADICO.NS,1.55,-0.0
RAIN.NS,1.51,0.01
RAJESHEXPO.NS,0.9,0.0
RALLIS.NS,1.11,0.0
RAMCOCEM.NS,1.15,0.0
RAMCOSYS.NS,0.71,0.0
RAYMOND.NS,0.97,-0.0
RCF.NS,0.48,0.01
RCOM.NS,0.73,-0.0
RDEL.NS,0.16,0.0
RECLTD.NS,1.99,-0.0
REDINGTON.NS,0.13,0.0
RELAXO.NS,0.37,0.0
RELCAPITAL.NS,1.32,0.0
RELIANCE.NS,0.36,-0.0
RELIGARE.NS,0.34,-0.0
RELINFRA.NS,1.38,0.0
RENUKA.NS,1.42,0.0
REPCOHOME.NS,1.53,0.0
RIIL.NS,1.14,-0.0
RKFORGE.NS,1.0,0.01
ROLTA.NS,0.89,-0.0
RPOWER.NS,1.02,-0.0
RTNPOWER.NS,0.32,0.0
RUCHISOYA.NS,-0.78,0.01
SADBHAV.NS,0.73,-0.0
SAIL.NS,1.93,0.0
SANOFI.NS,-0.08,-0.0
SBBJ.NS,1.29,-0.0
SBIN.NS,1.61,-0.0
SBT.NS,1.4,-0.0
SCHNEIDER.NS,1.09,-0.0
SCI.NS,1.04,0.0
SEQUENT.NS,0.36,0.0
SFCL.NS,0.26,0.0
SHARDACROP.NS,1.11,-0.0
SHILPAMED.NS,0.23,0.0
SHK.NS,0.04,0.0
SHOPERSTOP.NS,0.54,0.0
SHREECEM.NS,1.68,-0.0
SHRIRAMCIT.NS,0.92,0.0
SIEMENS.NS,1.41,-0.0
SIMPLEXINF.NS,2.32,-0.0
SINTEX.NS,2.4,0.0
SITINET.NS,0.8,-0.0
SJVN.NS,0.14,0.0
SKFINDIA.NS,0.27,0.0
SMLISUZU.NS,1.26,0.0
SNOWMAN.NS,1.29,-0.0
SOBHA.NS,0.25,0.0
SOLARINDS.NS,0.98,0.0
SOMANYCERA.NS,1.28,0.0
SONATSOFTW.NS,1.18,0.0
SOUTHBANK.NS,1.27,-0.0
SPARC.NS,0.78,-0.0
SREINFRA.NS,1.33,0.0
SRF.NS,0.87,0.0
SRTRANSFIN.NS,1.59,-0.0
STAR.NS,0.79,0.0
STCINDIA.NS,-0.16,0.01
SUNDARMFIN.NS,0.37,0.0
SUNDRMFAST.NS,1.49,0.0
SUNPHARMA.NS,0.87,-0.0
SUNTECK.NS,0.64,0.0
SUNTV.NS,1.43,0.01
SUPRAJIT.NS,0.38,0.0
SUPREMEIND.NS,0.57,0.0
SUVEN.NS,1.37,-0.0
SUZLON.NS,0.06,0.0
SWANENERGY.NS,2.2,-0.0
SYMPHONY.NS,0.26,0.0
SYNDIBANK.NS,1.73,-0.0
SYNGENE.NS,0.72,-0.01
TAKE.NS,0.48,-0.0
TATACHEM.NS,1.03,0.0
TATACOFFEE.NS,0.56,0.0
TATACOMM.NS,1.5,0.0
TATAELXSI.NS,1.39,-0.0
TATAGLOBAL.NS,1.12,0.0
TATAMOTORS.NS,1.3,0.0
TATAMTRDVR.NS,1.45,-0.0
TATAPOWER.NS,1.04,-0.0
TATASPONGE.NS,1.37,-0.0
TATASTEEL.NS,1.53,-0.0
TCS.NS,0.27,0.0
TECHM.NS,0.71,-0.0
TECHNO.NS,0.11,0.0
TEXRAIL.NS,-0.43,-0.0
THERMAX.NS,0.64,-0.0
THOMASCOOK.NS,1.02,-0.0
TIDEWATER.NS,0.81,0.0
TIMKEN.NS,0.75,-0.0
TITAN.NS,1.58,0.0
TNPL.NS,0.95,-0.0
TORNTPHARM.NS,0.43,-0.0
TORNTPOWER.NS,1.03,0.0
TRENT.NS,1.24,0.0
TRIDENT.NS,1.42,0.0
