,Stock_Name,Stock_Symbol
0,Advani Hotels,ADVANIHOTR
1,Asian Hotel (E),AHLEAST
2,Asian Hotel (W),AHLWEST
3,Blue Coast,BLUECOAST
4,Country Club,CCHHL
5,EIH,EIHOTEL
6,EIH Assoc Hotel,EIHAHOTELS
7,Hotel Leela,HOTELEELA
8,Hotel Rugby,HOTELRUGBY
9,India Tourism D,ITDC
10,Indian Hotels,INDHOTEL
11,Kamat Hotels,KAMATHOTEL
12,Mahindra Holida,MHRIL
13,Oriental Hotels,ORIENTHOT
14,Royal Orchid,ROHLTD
15,Speciality Rest,SPECIALITY
16,Taj GVK Hotels,TAJGVK
17,TGB Banquets,TGBHOTELS
18,Viceroy Hotels,VICEROY
