,Company,BSE_Symbol,NSE_Symbol
460,UltraTechCement,532538,ULTRACEMCO
461,Unichem Labs,506690,UNICHEMLAB
462,Union Bank,532477,UNIONBANK
463,Unitech,507878,UNITECH
464,United Bank,533171,UNITEDBNK
465,United Brewerie,532478,UBL
466,United Spirits,532432,MCDOWELL-N
467,UPL,512070,UPL
468,V-Guard Ind,532953,VGUARD
469,Va Tech Wabag,533269,WABAG
470,Vaibhav Global,532156,VAIBHAVGBL
471,Vakrangee,511431,VAKRANGEE
472,Vardhman Text,502986,VTL
473,Vedanta,500295,VEDL
474,Videocon Ind,511389,VIDEOIND
475,Vijaya Bank,532401,VIJAYABANK
476,Vinati Organics,524200,VINATIORGA
477,VIP Industries,507880,VIPIND
478,Voltas,500575,VOLTAS
479,VST,509966,VSTIND
480,WABCO India,533023,WABCOINDIA
481,Welspun Corp,532144,WELCORP
482,Welspun India,514162,WELSPUNIND
483,Westlife Dev,505533,
484,Whirlpool,500238,WHIRLPOOL
485,Wipro,507685,WIPRO
486,Wockhardt,532300,WOCKPHARMA
487,Wonderla,538268,WONDERLA
488,Yamini Invt,511012,
489,Yes Bank,532648,YESBANK
490,Zee Entertain,505537,ZEEL
491,Zensar Tech,504067,ZENSARTECH
492,Zydus Wellness,531335,ZYDUSWELL
