,Stock_Name,Stock_Symbol
0,Accel Frontline,AFL
1,Accelya Kale,ACCELYA
2,Allied Digital,ADSL
3,ALLSEC Tech,ALLSEC
4,aurionPro Sol,AURIONPRO
5,AXISCADES Engg,AXISCADES
6,California Soft,CALSOFT
7,Cambridge Tech,CTE
8,Cigniti Tech,CIGNITITEC
9,Compucom Soft,COMPUSOFT
10,Cybertech,CYBERTECH
11,Datamatics Glob,DATAMATICS
12,Dynacons Sys,DSSL
13,eClerx Services,ECLERX
14,Excel Realty,EXCEL
15,FCS Software,FCSSOFT
16,Firstsource Sol,FSL
17,Genesys Int,GENESYS
18,Goldstone Tech,GOLDTECH
19,Green Fire Agri,GREENFIRE
20,GSS Infotech,GSS
21,HOV Services,HOVS
22,Intrasoft Tech,ISFT
23,IZMO,IZMO
24,Kellton Tech,KELLTONTEC
25,Kernex Micro,KERNEX
26,KPIT Tech,KPIT
27,L&T Technology,LTTS
28,LCC Infotech,LCCINFOTEC
29,Lycos Internet,LYCOS
30,Majesco,MAJESCO
31,Megasoft,MEGASOFT
32,Net 4 India,NET4
33,Nucleus Softwar,NUCLEUS
34,OnMobile Global,ONMOBILE
35,Onward Tech,ONWARDTEC
36,Palred Tech,PALREDTEC
37,Pan India Corp,SRGINFOTEC
38,Panoramic Uni,PANORAMUNI
39,R Systems Intl,RSYSTEMS
40,RS Software,RSSOFTWARE
41,Sonata,SONATSOFTW
42,Subex,SUBEX
43,Take Solutions,TAKE
44,Tanla Solutions,TANLA
45,Tera Software,TERASOFT
46,Tricom India,TRICOM
47,Trigyn Tech,TRIGYN
48,Usha Martin Edu,UMESLTD
49,Vakrangee,VAKRANGEE
50,Visesh Infotech,VISESHINFO
51,Visu Intl,VISUINTL
52,Xchanging Sol,XCHANGING
53,Zen Tech,ZENTEC
54,Zylog Systems,ZYLOG
