,Stock_Name,Stock_Symbol
0,Aditya Birla,BIRLAMONEY
1,Alankit,ALANKIT
2,Bharat Fin,BHARATFIN
3,Capital First,CAPF
4,Capri Global,CGCL
5,Consol Finvest,CONSOFINVT
6,DB (Int) Stock,DBSTOCKBRO
7,Delta Corp,DELTACORP
8,Dhunseri Invest,DHUNINV
9,Edelweiss,EDELWEISS
10,Emkay Global,EMKAY
11,Equitas Holding,EQUITAS
12,Geojit BNP,GEOJITBNPP
13,ICICI Prudentia,ICICIPRULI
14,IIFL Holdings,IIFL
15,Indbank Merchan,INDBANK
16,Indo Thai Secu,INDOTHAI
17,Jindal Poly Inv,JPOLYINVST
18,Keynote Corp,KEYCORPSER
19,Motilal Oswal,MOTILALOFS
20,Nalwa Sons,NSIL
21,Network 18,NETWORK18
22,Pilani Invest,PILANIINVS
23,Sasta Sundar,SASTASUNDR
24,The Byke Hosp,BYKE
25,Transwarranty,TFL
26,Ujjivan Financi,UJJIVAN
27,Viji Finance,VIJIFIN
