,0,1,2
BFUTILITIE,394.211363636,394.25,9.71068302019
BFUTILITIE.NS,394.215909091,394.075,9.71385101364
BGRENERGY,115.611363636,115.325,5.36656163351
BGRENERGY.NS,116.161363636,115.325,6.39653797393
BHARATFIN,603.363636364,612.225,52.3443820195
BHARATFIN.NS,603.743181818,611.5,52.5303977654
BHARATFORG,931.045452273,917.92499,31.0945341078
BHARATFORG.NS,931.679545909,922.22498,30.9660008295
BHARTIARTL,310.070454545,307.95,11.1276110803
BHARTIARTL.NS,310.004545455,307.95,11.074411831
BHEL,122.95,122.65,3.39456849071
BHEL.NS,123.088636364,122.65,3.56884441142
BHUSANSTL,40.8772727273,40.825,0.776243590991
BHUSANSTL.NS,40.9454545455,40.825,0.898134189108
BIOCON,943.975,945.475,19.2399185104
BIOCON.NS,948.136363636,945.475,26.3406944887
BIRLACORPN,644.656818182,629.025,30.0078493519
BIRLACORPN.NS,644.477272727,629.025,29.6667872949
BLISSGVS,159.029545455,158.95,4.07654905091
BLISSGVS.NS,158.777272727,158.75,4.17577273353
BLUEDART,4404.91818182,4442.3,98.7127296098
BLUEDART.NS,4405.10681818,4433.75,99.0547014526
BLUESTARCO,469.622727273,466.9,16.3817677928
BLUESTARCO.NS,469.911363636,466.9,16.8222919834
BOMDYEING,48.6204545455,47.575,2.64906358527
BOMDYEING.NS,48.725,47.575,2.85835242254
BOSCHLTD,20322.1318182,20351.5,674.001131401
BOSCHLTD.NS,20314.3136364,20351.5,665.871553677
BPCL,630.411363636,618.125,22.4651313511
BPCL.NS,629.670454545,618.125,21.4057327607
BRFL,142.406818182,141.125,4.92424264069
BRFL.NS,142.470454545,141.125,4.9764602808
BRIGADE,152.268181818,152.475,3.40117435792
BRIGADE.NS,152.5,152.475,3.51324026261
BRITANNIA,2879.04772273,2884.72495,42.9272283034
BRITANNIA.NS,2878.53862727,2881.97495,42.8422876455
CADILAHC,365.470456364,367.45,15.2700453859
CADILAHC.NS,363.581819545,361.825,14.6982326705
CAIRN,250.543181818,252.125,8.48771234329
CAIRN.NS,250.720454545,252.125,8.62501427315
CANBK,279.35,270.35,16.8234176359
CANBK.NS,279.259090909,270.175,16.8780474241
CANFINHOME,1621.62727273,1647.725,83.8020708451
CANFINHOME.NS,1621.425,1647.725,83.6802428039
CAPF,556.670454545,545.825,31.5725342478
CAPF.NS,556.595454545,545.825,31.4670459108
CAPLIPOINT,342.295454545,341.725,5.87500575665
