Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
STCINDIA,2016-11-21,2017-01-06,144.65,0.05,106.6,228.55,0.76,0.02,-0.05,0.18
CHAMBLFERT,2016-11-21,2017-01-06,68.5,0.03,56.85,85.95,0.41,0.01,-0.03,0.11
MMTC,2016-11-21,2017-01-06,51.13,0.04,41.85,62.25,0.4,0.01,-0.06,0.16
ALOKTEXT,2016-11-21,2017-01-06,2.98,0.05,2.5,3.55,0.35,0.01,-0.1,0.18
HCC,2016-11-21,2017-01-06,38.09,0.04,29.95,41.6,0.33,0.01,-0.06,0.18
COROMANDEL,2016-11-21,2017-01-06,272.96,0.02,230.5,313.5,0.31,0.01,-0.04,0.05
JAICORPLTD,2016-11-21,2017-01-06,66.41,0.03,53.85,73.25,0.31,0.01,-0.04,0.1
ADANIPOWER,2016-11-21,2017-01-06,29.65,0.03,23.9,32.7,0.31,0.01,-0.04,0.11
TATAELXSI,2016-11-21,2017-01-06,1341.73,0.02,1031.2,1392.15,0.3,0.01,-0.04,0.07
JPASSOCIAT,2016-11-21,2017-01-06,7.87,0.04,7.7,10.4,0.3,0.01,-0.05,0.18
BLISSGVS,2016-11-21,2017-01-06,155.4,0.03,118.95,158.95,0.29,0.01,-0.06,0.09
RCF,2016-11-21,2017-01-06,47.06,0.02,40.75,54.55,0.29,0.01,-0.03,0.06
SUNTECK,2016-11-21,2017-01-06,210.61,0.03,181.0,243.05,0.29,0.01,-0.04,0.08
JKIL,2016-11-21,2017-01-06,198.67,0.03,172.05,228.55,0.28,0.01,-0.05,0.08
MRPL,2016-11-21,2017-01-06,95.73,0.04,81.85,108.8,0.28,0.01,-0.04,0.14
NATIONALUM,2016-11-21,2017-01-06,60.31,0.04,49.0,65.05,0.28,0.01,-0.08,0.11
MOIL,2016-11-21,2017-01-06,355.55,0.03,304.1,401.25,0.28,0.01,-0.04,0.11
IBREALEST,2016-11-21,2017-01-06,70.72,0.03,60.5,79.7,0.28,0.01,-0.04,0.09
ZEELEARN,2016-11-21,2017-01-06,39.51,0.02,33.25,43.55,0.27,0.01,-0.04,0.07
