,Stock_Name,Stock_Symbol
0,Aarti Ind,AARTIIND
1,Adi Finechem,ADI
2,Alkali Metals,ALKALI
3,Alkyl Amines,ALKYLAMINE
4,Balaji Amines,BALAMINES
5,BASF,BASF
6,Camlin Fine,CAMLINFINE
7,Chemfab Alkalie,CHEMFALKAL
8,Deepak Nitrite,DEEPAKNTR
9,Excel,EXCELINDUS
10,Fineotex Chem,FCL
11,Foseco India,FOSECOIND
12,GeeCee Ventures,GEECEE
13,GOCL Corp,GOCLCORP
14,Gokul Agro,GOKULAGRO
15,Guj Alkali,GUJALKALI
16,Guj Flourochem,GUJFLUORO
17,Guj Heavy Chem,GHCL
18,Gulshan Poly,GULPOLY
19,Himadri Special,HSCL
20,Hind Org Chem,HOCL
21,IFB Agro,IFBAGRO
22,IG Petro,IGPL
23,India Glycols,INDIAGLYCO
24,IOL Chemicals,IOLCP
25,Jayant Agro-Org,JAYAGROGN
26,Kanoria Chem,KANORICHEM
27,Linde India,LINDEINDIA
28,Navin Fluorine,NAVINFLUOR
29,Omkar Special,OMKARCHEM
30,Oriental Carbon,OCCL
31,Panama Petro,PANAMAPET
32,Phillips Carbon,PHILIPCARB
33,Pidilite Ind,PIDILITIND
34,Premier Explo,PREMEXPLN
35,Punjab Chemical,PUNJABCHEM
36,Refex Ind,REFEX
37,Solar Ind,SOLARINDS
38,Sree Rayalaseem,SRHHYPOLTD
39,Standard Ind,SIL
40,Tata Chemicals,TATACHEM
41,Thirumalai Chem,TIRUMALCHM
42,UPL,UPL
43,Vinati Organics,VINATIORGA
44,Vinyl Chemicals,VINYLINDIA
45,Vishnu Chemical,VISHNU
