,Stock_Name,Stock_Symbol
0,3i Infotech,3IINFOTECH
1,Acropetal Tech,ACROPETAL
2,AGC Networks,AGCNET
3,Cyient,CYIENT
4,Ducon Infratech,DUCON
5,Financial Tech,FINANTECH
6,Geometric,GEOMETRIC
7,HCL Tech,HCLTECH
8,Hexaware Tech,HEXAWARE
9,Hinduja Global,HGS
10,Hinduja Venture,HINDUJAVEN
11,ICSA,ICSA
12,Infinite Comp,INFINITE
13,Infosys,INFY
14,Intellect Desig,INTELLECT
15,L&T Infotech,LTI
16,Mastek,MASTEK
17,Mindteck,MINDTECK
18,Mindtree,MINDTREE
19,MphasiS,MPHASIS
20,NIIT Tech,NIITTECH
21,Oracle Fin Serv,OFSS
22,Persistent,PERSISTENT
23,Polaris Consult,POLARIS
24,Quick Heal Tech,QUICKHEAL
25,Ramco System,RAMCOSYS
26,Rolta,ROLTA
27,Saksoft,SAKSOFT
28,Sasken Comm,SASKEN
29,SQS India BFSI,SQSBFSI
30,Tata Elxsi,TATAELXSI
31,TCS,TCS
32,Tech Mahindra,TECHM
33,Wipro,WIPRO
34,Zensar Tech,ZENSARTECH
