,Stock_Name,Stock_Symbol
0,20 Microns,20MICRONS
1,Ashapura Mine,ASHAPURMIN
2,Coal India,COALINDIA
3,Guj Mineral,GMDCLTD
4,Impex FerroTech,IMPEXFERRO
5,Indian Metals,IMFA
6,Maithan Alloys,MAITHANALL
7,MOIL,MOIL
8,NMDC,NMDC
9,Orissa Minerals,ORISSAMINE
10,Parrys Sugar,PARRYSUGAR
11,Resurgere Mines,RMMIL
12,Rohit Ferro Tec,ROHITFERRO
13,Shirpur Gold,SHIRPUR-G
14,Vedanta,VEDL
