,Stock_Name,Stock_Symbol
0,Arman Financial,ARMANFIN
1,Bajaj Finance,BAJFINANCE
2,Cholamandalam,CHOLAFIN
3,Guj Lease Fin,GLFL
4,Hb Stockhol,HBSTOCK
5,M&M Financial,M&MFIN
6,Magma Fincorp,MAGMA
7,Manappuram Fin,MANAPPURAM
8,Motor and Gen F,MOTOGENFIN
9,Shriram City,SHRIRAMCIT
10,Shriram Trans,SRTRANSFIN
11,SREI Infra,SREINFRA
12,Sundaram Fin,SUNDARMFIN
13,Times Guaranty,TIMESGTY
14,VLS Finance,VLSFINANCE
