,Stock_Name,Stock_Symbol
0,Adani Trans,ADANITRANS
1,Adlabs Ent,ADLABS
2,AI Champdany,AICHAMP
3,Alchemist,ALCHEM
4,Archidply Ind,ARCHIDPLY
5,Arcotech,ARCOTECH
6,Aries Agro,ARIES
7,Atlas Cycles,ATLASCYCLE
8,Austral Coke,AUSTRAL
9,Balkrishna ,BALKRISHNA
10,Banaras Beads,BANARBEADS
11,Bartronics,BARTRONICS
12,Beardsell,BEARDSELL
13,Bharatiya Glob,BGLOBAL
14,Bliss GVS,BLISSGVS
15,BLS Internation,BLS
16,CARE,CARERATING
17,CenturyPlyboard,CENTURYPLY
18,Cox & Kings,COX&KINGS
19,CRISIL,CRISIL
20,Cupid,CUPID
21,D-Link India,DLINKINDIA
22,DFM Foods,DFMFOODS
23,Dredging Corp,DREDGECORP
24,Future Market,FMNL
25,Gateway Distri,GDL
26,Global Vectra,GLOBALVECT
27,Gravita India,GRAVITA
28,Greenlam Ind,GREENLAM
29,Greenply Ind,GREENPLY
30,Guj NRE (DVR),GUJNREDVR
31,Guj NRE Coke,GUJNRECOKE
32,Hanung Toys,HANUNG
33,ICRA,ICRA
34,Indiabulls Whol,IBWSL
35,Indosolar,INDOSOLAR
36,Infibeam Incorp,INFIBEAM
37,Info Edge,NAUKRI
38,Jocil,JOCIL
39,Jubilant Food,JUBLFOOD
40,Jubilant Ind,JUBLINDS
41,Just Dial,JUSTDIAL
42,Karma Energy,KARMAENG
43,Karuturi Global,KGL
44,Kaveri Seed,KSCL
45,Kaya,KAYA
46,KDDL,KDDL
47,Kesar Terminals,KTIL
48,Kridhan Infra,KRIDHANINF
49,Linc PenandPlas,LINCPEN
50,Manaksia Ind,MANAKINDST
51,Mangalam Timber,MANGTIMBER
52,Max India,MAXINDIA
53,MCX India,MCX
54,Nitin Fire Prot,NITINFIRE
55,North Eastern,NECCLTD
56,Pennar Eng,PENPEBS
57,Pochiraju Ind,POCHIRAJU
58,Rushil Decor,RUSHIL
59,S H Kelkar,SHK
60,Satin Credit,SATIN
61,Shyam Century,SHYAMCENT
62,Skipper,SKIPPER
63,Surana Solar,SURANASOL
64,Syngene Intl,SYNGENE
65,Talwalkars Fitn,TALWALKARS
66,TeamLease Ser.,TEAMLEASE
67,Techindia Nirm,TECHIN
68,Thomas Cook,THOMASCOOK
69,Titan Company,TITAN
70,Tube Investment,TUBEINVEST
71,Uniply Ind,UNIPLY
72,V-Guard Ind,VGUARD
73,Vaibhav Global,VAIBHAVGBL
74,Venkys,VENKEYS
75,Vimta Labs,VIMTALABS
76,Websol Energy,WEBELSOLAR
77,Wonderla,WONDERLA
