,Stock_Name,Stock_Symbol
0,ABB India,ABB
1,Adani Ports,ADANIPORTS
2,Arvind Smart,ARVSMART
3,BEML,BEML
4,BGR Energy,BGRENERGY
5,BHEL,BHEL
6,EngineersInd,ENGINERSIN
7,GMR Infra,GMRINFRA
8,ILandFS Trans,IL&FSTRANS
9,IRB Infra,IRB
10,Jaiprakash Asso,JPASSOCIAT
11,Jaypee Infra,JPINFRATEC
12,Lanco Infratech,LITL
13,Larsen,LT
14,MEP Infra,MEP
15,NBCC (India),NBCC
16,Power Mech,POWERMECH
17,Punj Lloyd,PUNJLLOYD
18,Rel Ind Infra,RIIL
19,Sadbhav Engg,SADBHAV
20,Sadbhav Infra,SADBHIN
21,Siemens,SIEMENS
22,Texmaco Infra,TEXINFRA
23,Texmaco Rail,TEXRAIL
24,Thermax,THERMAX
25,Titagarh Wagons,TWL
26,Va Tech Wabag,WABAG
