,Stock_Name,Stock_Symbol
0,Andhra Sugar,ANDHRSUGAR
1,Bajaj Hind,BAJAJHIND
2,Balrampur Chini,BALRAMCHIN
3,Bannariamman,BANARISUG
4,Dalmia Sugar,DALMIASUG
5,Dhampur Sugar,DHAMPURSUG
6,Dharani Sugars,DHARSUGAR
7,Dwarikesh Sugar,DWARKESH
8,EID Parry,EIDPARRY
9,KCP Sugar,KCPSUGIND
10,Kesar Ent,KESARENT
11,KM Sugar Mills,KMSUGAR
12,Kothari Sugars,KOTARISUG
13,Mawana Sugars,MAWANASUG
14,Oudh Sugar Mill,OUDHSUG
15,Ponni Sugars(E),PONNIERODE
16,Rajshree Sugars,RAJSREESUG
17,Rana Sugars,RANASUG
18,Sakthi Sugars,SAKHTISUG
19,Shree Renuka,RENUKA
20,Simbhaoli Sugar,SIMBHALS
21,Thiru Arooran,THIRUSUGAR
22,Triveni Engg,TRIVENI
23,Ugar Sugar Work,UGARSUGAR
24,Upper Ganges,UPERGANGES
25,Uttam Sugar,UTTAMSUGAR
