,Stock_Name,Stock_Symbol
0,Ahluwalia,AHLUCONT
1,ARSS Infra,ARSSINFRA
2,Ashoka Buildcon,ASHOKA
3,Atlanta,ATLANTA
4,Bigbloc Constru,BIGBLOC
5,BL Kashyap,BLKASHYAP
6,C & C Construct,CANDC
7,CCCL,CCCL
8,Dilip Buildcon,DBL
9,Gammon India,GAMMONIND
10,Gammon Infra,GAMMNINFRA
11,Gayatri Project,GAYAPROJ
12,GPT Infra,GPTINFRA
13,Hind Constr,HCC
14,ILandFS Engg,IL&FSENGG
15,ITD Cementation,ITDCEM
16,IVRCL,IVRCLINFRA
17,J Kumar Infra,JKIL
18,JMC Projects,JMCPROJECT
19,Kaushalya Infra,KAUSHALYA
20,KNR Construct,KNRCON
21,Madhucon Proj,MADHUCON
22,Mahindra Life,MAHLIFE
23,Man Infra,MANINFRA
24,MBL Infra,MBLINFRA
25,Mukund Engg,MUKANDENGG
26,NCC,NCC
27,Noida Toll,NOIDATOLL
28,Patel Eng,PATELENG
29,PBA Infra,PBAINFRA
30,Prakash Constro,PRAKASHCON
31,Pratibha Ind,PRATIBHA
32,Ramky Infra,RAMKY
33,RPP Infra Proj,RPPINFRA
34,Simplex Infra,SIMPLEXINF
35,Simplex Project,SIMPLEX
36,SPML Infra,SPMLINFRA
37,Supreme Infra,SUPREMEINF
38,Tantia Const,TANTIACONS
39,Tarmat,TARMAT
40,Unitech,UNITECH
41,Unity Infraproj,UNITY
42,Valecha Engg,VALECHAENG
43,Welspun Enter,WELENT
