,Stock_Name,Stock_Symbol
0,Bharat Wire Rop,BHARATWIRE
1,Commercial Eng,CEBBCO
2,Electrotherm,ELECTHERM
3,GEI Industrial,GEINDSYS
4,Hercules Hoists,HERCULES
5,Hind Dorr-Olive,HINDDORROL
6,Kalindee Rail,KALINDEE
7,LG Balakrishnan,LGBBROSLTD
8,Manaksia Coated,MANAKCOAT
9,Manugraph Ind,MANUGRAPH
10,Mazda,MAZDA
11,Mcnally Bh Engg,MBECL
12,NEPC India,NEPCMICON
13,OM Metals Infra,OMMETALS
14,Petron Engg,PETRONENGG
15,Pitti Laminatio,PITTILAM
16,Premier,PREMIER
17,Quess Corp,QUESS
18,Shanthi Gears,SHANTIGEAR
19,Technofab Engg,TECHNOFAB
20,VKS Projects,VKSPL
