,Stock_Name,Stock_Symbol
0,ADF Foods,ADFFOODS
1,Agro Dutch Ind,AGRODUTCH
2,Britannia,BRITANNIA
3,Coffee Day,COFFEEDAY
4,GlaxoSmith Con,GSKCONS
5,Hatsun Agro,HATSUN
6,Heritage Foods,HERITGFOOD
7,Kohinoor Foods,KOHINOOR
8,KRBL,KRBL
9,Kwality,KWALITY
10,Lakshmi Energy,LAKSHMIEFL
11,LT Foods,DAAWAT
12,Manpasand Bever,MANPASAND
13,Nestle,NESTLEIND
14,Parag Milk Food,PARAGMILK
15,Prabhat Dairy,PRABHAT
16,Rei Agro,REIAGROLTD
17,Sita Shree Food,SITASHREE
18,SKM Egg Product,SKMEGGPROD
19,Umang Dairies,UMANGDAIRY
20,Usher Agro,USHERAGRO
21,Vadilal Ind,VADILALIND
