Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
BALKRISIND,2016-11-29,2016-12-05,1107.7,0.07,925.55,1212.9,0.27,0.07,-0.0,0.18
HCC,2016-11-29,2016-12-05,37.83,0.08,33.85,39.75,0.16,0.04,-0.02,0.18
BLISSGVS,2016-11-29,2016-12-05,161.02,0.03,145.65,168.55,0.15,0.04,0.0,0.09
ABAN,2016-11-29,2016-12-05,238.64,0.04,217.7,250.1,0.14,0.03,-0.02,0.09
SWANENERGY,2016-11-29,2016-12-05,154.28,0.03,148.9,166.65,0.11,0.03,-0.0,0.06
CHAMBLFERT,2016-11-29,2016-12-05,63.98,0.02,61.55,67.8,0.1,0.02,0.0,0.06
TAKE,2016-11-29,2016-12-05,127.79,0.04,125.35,138.0,0.1,0.02,-0.01,0.1
ADANIPOWER,2016-11-29,2016-12-05,29.27,0.02,28.3,31.1,0.09,0.02,0.0,0.06
TRENT,2016-11-29,2016-12-05,183.66,0.05,181.95,199.5,0.09,0.02,-0.01,0.11
RCF,2016-11-29,2016-12-05,47.51,0.01,44.9,49.35,0.09,0.02,0.0,0.04
CCL,2016-11-29,2016-12-05,264.85,0.02,251.7,275.25,0.09,0.02,0.01,0.05
WELCORP,2016-11-29,2016-12-05,78.4,0.07,71.2,77.5,0.08,0.02,-0.03,0.13
ANANTRAJ,2016-11-29,2016-12-05,40.51,0.03,38.5,41.45,0.07,0.02,-0.01,0.07
EICHERMOT,2016-11-29,2016-12-05,22124.12,0.01,21294.1,22748.3,0.07,0.02,-0.0,0.03
JYOTHYLAB,2016-11-29,2016-12-05,356.53,0.0,344.0,369.8,0.07,0.02,0.01,0.02
TATAELXSI,2016-11-29,2016-12-05,1297.04,0.01,1254.2,1346.75,0.07,0.02,0.01,0.03
MMTC,2016-11-29,2016-12-05,48.54,0.07,46.0,49.45,0.07,0.02,-0.06,0.13
JUBILANT,2016-11-29,2016-12-05,693.36,0.03,660.55,700.45,0.06,0.01,-0.03,0.06
HATHWAY,2016-11-29,2016-12-05,35.31,0.03,33.9,36.15,0.06,0.02,-0.02,0.06
CERA,2016-11-29,2016-12-05,2096.21,0.02,2030.4,2147.45,0.06,0.01,-0.01,0.03
SUNTV,2016-11-29,2016-12-05,465.33,0.07,464.75,492.6,0.06,0.01,-0.06,0.12
SUPREMEIND,2016-11-29,2016-12-05,888.51,0.02,854.95,907.3,0.06,0.01,-0.01,0.05
GULFOILLUB,2016-11-29,2016-12-05,710.16,0.02,688.0,732.7,0.06,0.02,-0.01,0.04
SPARC,2016-11-29,2016-12-05,323.38,0.01,313.1,331.65,0.06,0.01,0.01,0.02
RAMCOSYS,2016-11-29,2016-12-05,320.64,0.03,306.5,324.2,0.06,0.01,-0.02,0.06
BGRENERGY,2016-11-29,2016-12-05,112.53,0.02,110.15,117.3,0.06,0.02,-0.0,0.04
MRPL,2016-11-29,2016-12-05,99.18,0.03,98.25,104.5,0.06,0.02,-0.03,0.06
WELSPUNIND,2016-11-29,2016-12-05,68.86,0.03,64.9,69.25,0.06,0.02,-0.01,0.07
UPL,2016-11-29,2016-12-05,645.15,0.01,625.45,663.65,0.06,0.01,0.0,0.03
RAIN,2016-11-29,2016-12-05,51.28,0.02,50.95,53.35,0.05,0.01,-0.01,0.05
SJVN,2016-11-29,2016-12-05,32.35,0.01,31.65,33.25,0.05,0.01,0.0,0.02
ADANIENT,2016-11-29,2016-12-05,67.87,0.02,66.45,69.65,0.05,0.01,-0.01,0.02
PAGEIND,2016-11-29,2016-12-05,13077.12,0.03,12704.5,13348.2,0.05,0.01,-0.03,0.05
OIL,2016-11-29,2016-12-05,566.87,0.01,553.33,582.27,0.05,0.01,-0.0,0.02
KPRMILL,2016-11-22,2016-11-28,1116.43,0.03,1081.85,1129.9,0.04,0.01,-0.02,0.04
LICHSGFIN,2016-11-29,2016-12-05,560.15,0.02,544.55,564.95,0.04,0.01,-0.03,0.04
BALMLAWRIE,2016-11-29,2016-12-05,986.3,0.02,965.8,1009.5,0.04,0.01,-0.02,0.04
GSFC,2016-11-29,2016-12-05,88.91,0.03,85.75,89.15,0.04,0.01,-0.03,0.05
JAICORPLTD,2016-11-29,2016-12-05,67.72,0.05,64.7,67.65,0.04,0.01,-0.04,0.09
TITAN,2016-11-29,2016-12-05,320.26,0.03,313.85,325.85,0.04,0.01,-0.04,0.04
SUNTECK,2016-11-29,2016-12-05,193.73,0.02,189.05,197.75,0.04,0.01,-0.03,0.03
CENTRALBK,2016-11-29,2016-12-05,84.75,0.01,83.1,86.35,0.04,0.01,-0.0,0.02
