Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
DELTACORP,2016-12-27,2017-01-02,108.09,0.04,96.15,116.15,0.19,0.05,-0.01,0.11
STCINDIA,2016-12-27,2017-01-02,209.0,0.05,189.4,229.7,0.19,0.05,0.0,0.1
KOLTEPATIL,2016-12-27,2017-01-02,86.3,0.08,83.3,99.8,0.18,0.05,-0.01,0.18
MMTC,2016-12-27,2017-01-02,54.39,0.07,52.35,61.7,0.16,0.04,-0.01,0.16
BHARATFIN,2016-12-27,2017-01-02,576.08,0.04,519.4,602.25,0.15,0.04,-0.02,0.1
ITDCEM,2016-12-27,2017-01-02,150.25,0.04,144.1,165.9,0.14,0.04,0.01,0.11
JKCEMENT,2016-12-27,2017-01-02,692.47,0.02,639.6,738.0,0.14,0.04,0.01,0.06
DREDGECORP,2016-12-27,2017-01-02,395.85,0.06,385.65,441.1,0.13,0.03,-0.01,0.14
RENUKA,2016-12-27,2017-01-02,13.47,0.02,12.85,14.7,0.13,0.03,0.0,0.06
HCC,2016-12-27,2017-01-02,38.71,0.02,36.95,41.9,0.13,0.03,0.0,0.06
NATIONALUM,2016-12-27,2017-01-02,62.78,0.01,58.6,66.85,0.13,0.03,0.02,0.05
BAJAJHIND,2016-12-27,2017-01-02,13.59,0.03,13.05,14.75,0.12,0.03,-0.01,0.06
CANFINHOME,2016-12-27,2017-01-02,1531.66,0.03,1460.1,1650.5,0.12,0.03,-0.01,0.07
MRPL,2016-12-27,2017-01-02,95.99,0.03,88.1,99.15,0.12,0.03,-0.0,0.09
NILKAMAL,2016-12-27,2017-01-02,1286.53,0.05,1252.9,1407.95,0.12,0.03,-0.01,0.11
NBCC,2016-12-27,2017-01-02,236.51,0.02,225.0,253.45,0.12,0.03,0.01,0.06
JPASSOCIAT,2016-12-27,2017-01-02,7.75,0.03,7.4,8.3,0.11,0.03,-0.01,0.08
COROMANDEL,2016-12-27,2017-01-02,286.2,0.01,270.75,302.35,0.11,0.03,0.02,0.03
HDIL,2016-12-27,2017-01-02,57.54,0.03,55.05,61.7,0.11,0.03,0.0,0.07
DALMIABHA,2016-12-27,2017-01-02,1356.04,0.03,1308.45,1453.75,0.11,0.03,0.01,0.07
CHENNPETRO,2016-12-27,2017-01-02,269.35,0.02,256.05,282.85,0.1,0.02,-0.0,0.06
NETWORK18,2016-12-27,2017-01-02,33.04,0.04,30.7,33.95,0.1,0.03,-0.01,0.09
GULFOILLUB,2016-12-27,2017-01-02,636.08,0.01,600.0,664.8,0.1,0.03,0.01,0.04
KAJARIACER,2016-12-27,2017-01-02,455.26,0.03,441.1,487.7,0.1,0.03,-0.0,0.06
BALRAMCHIN,2016-12-27,2017-01-02,123.02,0.01,117.6,130.25,0.1,0.03,0.01,0.04
INDIACEM,2016-12-27,2017-01-02,114.91,0.02,111.45,122.65,0.1,0.02,-0.0,0.05
ESCORTS,2016-12-27,2017-01-02,297.79,0.03,288.95,320.75,0.1,0.03,0.0,0.08
IFCI,2016-12-27,2017-01-02,26.42,0.06,24.8,27.4,0.1,0.02,-0.03,0.13
MANAPPURAM,2016-12-27,2017-01-02,66.26,0.02,62.7,68.95,0.1,0.02,0.01,0.05
KALPATPOWR,2016-12-27,2017-01-02,246.68,0.01,236.35,258.1,0.09,0.02,0.0,0.04
JSWENERGY,2016-12-27,2017-01-02,59.65,0.01,56.7,62.25,0.09,0.02,0.02,0.03
PVR,2016-12-27,2017-01-02,1117.92,0.02,1053.5,1155.45,0.09,0.02,0.01,0.05
REPCOHOME,2016-12-27,2017-01-02,544.84,0.01,516.9,564.9,0.09,0.02,0.01,0.04
KWALITY,2016-12-27,2017-01-02,123.28,0.02,116.5,126.85,0.09,0.02,0.0,0.05
OCL,2016-12-27,2017-01-02,702.97,0.02,682.45,745.55,0.09,0.02,0.01,0.05
JKIL,2016-12-27,2017-01-02,203.23,0.02,193.1,211.4,0.09,0.02,-0.0,0.04
DLF,2016-12-27,2017-01-02,111.25,0.03,108.25,118.7,0.09,0.02,-0.01,0.06
ABIRLANUVO,2016-12-27,2017-01-02,1236.75,0.02,1181.7,1290.1,0.09,0.02,0.01,0.05
SRTRANSFIN,2016-12-27,2017-01-02,838.58,0.01,808.35,884.4,0.09,0.02,0.01,0.04
