Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
CANFINHOME,2016-11-15,2016-11-21,1409.38,0.05,1259.9,1523.25,0.19,0.05,-0.01,0.1
INFIBEAM,2016-11-15,2016-11-21,1006.84,0.02,929.6,1105.2,0.17,0.04,0.02,0.07
LALPATHLAB,2016-11-15,2016-11-21,1154.03,0.02,1104.05,1235.8,0.11,0.03,-0.01,0.06
PRISMCEM,2016-11-15,2016-11-21,83.75,0.01,79.3,87.75,0.1,0.03,0.01,0.04
PHOENIXLTD,2016-11-15,2016-11-21,320.67,0.04,303.1,330.9,0.09,0.02,-0.01,0.09
CHENNPETRO,2016-11-15,2016-11-21,252.93,0.05,233.85,253.8,0.08,0.02,-0.06,0.07
CHOLAFIN,2016-11-15,2016-11-21,973.38,0.04,907.35,984.05,0.08,0.02,-0.03,0.07
NAUKRI,2016-11-15,2016-11-21,888.99,0.02,869.35,928.0,0.07,0.02,-0.01,0.04
REPCOHOME,2016-11-15,2016-11-21,555.26,0.02,532.45,572.95,0.07,0.02,-0.02,0.04
SJVN,2016-11-15,2016-11-21,29.36,0.02,28.55,30.2,0.06,0.01,-0.01,0.03
ASTRAL,2016-11-15,2016-11-21,405.77,0.01,395.4,420.2,0.06,0.02,-0.0,0.04
BHARATFIN,2016-11-15,2016-11-21,676.16,0.04,633.3,674.75,0.06,0.02,-0.03,0.08
DCBBANK,2016-11-15,2016-11-21,105.41,0.03,101.35,106.3,0.05,0.01,-0.04,0.04
ENGINERSIN,2016-11-15,2016-11-21,534.88,0.04,514.1,540.8,0.05,0.01,-0.05,0.06
HATHWAY,2016-11-15,2016-11-21,30.93,0.02,30.2,31.65,0.05,0.01,-0.02,0.04
JUBILANT,2016-11-15,2016-11-21,603.17,0.03,576.7,607.2,0.05,0.01,-0.03,0.04
ZYDUSWELL,2016-11-15,2016-11-21,833.41,0.02,802.8,844.95,0.05,0.01,-0.01,0.04
SWANENERGY,2016-11-15,2016-11-21,134.43,0.07,133.6,140.2,0.05,0.01,-0.07,0.13
MAGMA,2016-11-15,2016-11-21,95.13,0.02,91.6,95.65,0.04,0.01,-0.01,0.04
LICHSGFIN,2016-11-15,2016-11-21,503.6,0.04,479.75,500.9,0.04,0.01,-0.03,0.07
TORNTPHARM,2016-11-15,2016-11-21,1272.36,0.02,1255.5,1305.25,0.04,0.01,-0.02,0.04
EMAMILTD,2016-11-15,2016-11-21,1067.6,0.01,1040.9,1079.6,0.04,0.01,-0.01,0.03
ECLERX,2016-11-15,2016-11-21,1413.63,0.01,1396.95,1447.8,0.04,0.01,-0.01,0.02
JUBLFOOD,2016-11-15,2016-11-21,880.3,0.02,851.95,887.7,0.04,0.01,-0.01,0.03
JYOTHYLAB,2016-11-15,2016-11-21,340.31,0.04,321.3,335.85,0.04,0.01,-0.04,0.08
KALPATPOWR,2016-11-15,2016-11-21,226.82,0.02,223.05,232.9,0.04,0.01,-0.02,0.05
KRBL,2016-11-15,2016-11-21,243.22,0.02,235.5,246.05,0.04,0.01,-0.02,0.04
SHRIRAMCIT,2016-11-15,2016-11-21,1826.63,0.04,1783.7,1848.2,0.04,0.01,-0.05,0.06
GODREJCP,2016-11-15,2016-11-21,1401.01,0.02,1353.7,1412.9,0.04,0.01,-0.01,0.05
ADANITRANS,2016-11-15,2016-11-21,44.59,0.01,44.05,45.9,0.04,0.01,0.0,0.02
MARICO,2016-11-15,2016-11-21,247.3,0.01,239.65,249.65,0.04,0.01,-0.0,0.03
CYIENT,2016-11-15,2016-11-21,472.56,0.01,460.95,480.25,0.04,0.01,-0.0,0.02
MPHASIS,2016-11-15,2016-11-21,505.47,0.02,499.8,518.9,0.04,0.01,-0.01,0.04
AMARAJABAT,2016-11-15,2016-11-21,916.56,0.03,874.35,909.05,0.04,0.01,-0.03,0.07
NHPC,2016-11-15,2016-11-21,25.2,0.03,24.6,25.6,0.04,0.01,-0.03,0.04
TECHM,2016-11-15,2016-11-21,441.77,0.01,430.95,447.15,0.04,0.01,-0.0,0.03
SYMPHONY,2016-11-15,2016-11-21,1198.45,0.02,1182.75,1220.95,0.03,0.01,-0.01,0.03
CCL,2016-11-15,2016-11-21,241.14,0.04,232.0,238.7,0.03,0.01,-0.04,0.06
OIL,2016-11-15,2016-11-21,549.49,0.01,539.87,556.33,0.03,0.01,-0.0,0.02
BRFL,2016-11-15,2016-11-21,137.1,0.02,135.1,138.95,0.03,0.01,-0.01,0.04
NTPC,2016-11-15,2016-11-21,153.21,0.03,150.15,154.9,0.03,0.01,-0.03,0.05
NLCINDIA,2016-11-15,2016-11-21,75.84,0.01,74.25,76.6,0.03,0.01,-0.0,0.02
IRB,2016-11-15,2016-11-21,188.27,0.01,184.75,189.5,0.03,0.01,-0.01,0.02
MINDTREE,2016-11-15,2016-11-21,438.85,0.01,430.55,441.8,0.03,0.01,-0.0,0.02
VAKRANGEE,2016-11-15,2016-11-21,256.28,0.03,254.95,261.65,0.03,0.01,-0.01,0.06
MERCK,2016-11-15,2016-11-21,871.56,0.03,855.45,879.35,0.03,0.01,-0.03,0.04
AJANTPHARM,2016-11-15,2016-11-21,1762.6,0.02,1702.3,1757.4,0.03,0.01,-0.02,0.03
DABUR,2016-11-15,2016-11-21,275.36,0.01,270.75,276.05,0.02,0.0,-0.01,0.02
CADILAHC,2016-11-15,2016-11-21,367.85,0.02,358.25,365.9,0.02,0.01,-0.02,0.04
PEL,2016-11-15,2016-11-21,1425.36,0.01,1401.75,1435.75,0.02,0.01,-0.0,0.02
MFSL,2016-11-15,2016-11-21,516.02,0.04,492.9,504.35,0.02,0.01,-0.04,0.08
CRISIL,2016-11-15,2016-11-21,2188.85,0.02,2155.35,2199.8,0.02,0.01,-0.02,0.03
PETRONET,2016-11-15,2016-11-21,361.1,0.04,360.6,367.05,0.02,0.0,-0.02,0.08
HINDZINC,2016-11-15,2016-11-21,244.3,0.03,238.6,244.45,0.02,0.01,-0.02,0.05
PFC,2016-11-15,2016-11-21,119.67,0.03,116.1,118.55,0.02,0.01,-0.05,0.03
GILLETTE,2016-11-15,2016-11-21,4293.87,0.02,4196.05,4294.85,0.02,0.01,-0.01,0.03
GLENMARK,2016-11-15,2016-11-21,882.15,0.02,870.3,884.7,0.02,0.0,-0.02,0.02
GRUH,2016-11-15,2016-11-21,290.3,0.03,282.15,287.2,0.02,0.0,-0.03,0.04
GSPL,2016-11-15,2016-11-21,151.14,0.01,148.65,151.9,0.02,0.01,-0.02,0.02
TORNTPOWER,2016-11-15,2016-11-21,165.08,0.02,165.6,168.75,0.02,0.0,-0.02,0.03
IOC,2016-11-15,2016-11-21,292.06,0.02,285.8,291.85,0.02,0.01,-0.03,0.02
INGERRAND,2016-11-15,2016-11-21,671.46,0.03,658.6,669.45,0.02,0.0,-0.03,0.03
ADANIENT,2016-11-15,2016-11-21,62.78,0.02,61.85,62.8,0.02,0.0,-0.02,0.02
BAJFINANCE,2016-11-15,2016-11-21,859.32,0.06,815.05,832.2,0.02,0.01,-0.05,0.1
ARVIND,2016-11-15,2016-11-21,337.58,0.02,330.2,335.65,0.02,0.0,-0.02,0.03
SITINET,2016-11-15,2016-11-21,34.94,0.01,34.85,35.05,0.01,0.0,-0.0,0.01
UPL,2016-11-15,2016-11-21,614.12,0.02,600.35,608.85,0.01,0.0,-0.02,0.03
SUNPHARMA,2016-11-15,2016-11-21,679.66,0.02,682.45,690.35,0.01,0.0,-0.02,0.03
ITDCEM,2016-11-15,2016-11-21,138.54,0.04,134.85,135.55,0.01,0.0,-0.06,0.03
PFIZER,2016-11-15,2016-11-21,1789.66,0.01,1780.9,1797.4,0.01,0.0,-0.01,0.02
VINATIORGA,2016-11-15,2016-11-21,548.0,0.02,539.55,545.4,0.01,0.0,-0.03,0.03
