Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
ADANITRANS,2016-11-22,2016-11-28,57.44,0.09,46.8,62.05,0.28,0.07,-0.04,0.18
AMTEKAUTO,2016-11-22,2016-11-28,36.08,0.03,32.8,40.85,0.22,0.05,0.01,0.1
SHILPAMED,2016-11-22,2016-11-28,594.06,0.03,544.85,674.05,0.21,0.05,0.02,0.09
JMTAUTOLTD,2016-11-22,2016-11-28,22.24,0.02,20.1,24.6,0.2,0.05,0.02,0.08
UFLEX,2016-11-22,2016-11-28,257.24,0.02,234.75,285.65,0.2,0.05,0.02,0.08
BERGEPAINT,2016-11-22,2016-11-28,208.63,0.02,185.4,225.8,0.2,0.05,0.02,0.07
TATAELXSI,2016-11-22,2016-11-28,1157.08,0.02,1036.55,1259.35,0.19,0.05,0.01,0.07
8KMILES,2016-11-22,2016-11-28,643.51,0.02,591.3,715.1,0.19,0.05,0.01,0.08
MOIL,2016-11-22,2016-11-28,338.03,0.04,301.4,363.5,0.19,0.05,0.01,0.11
PHOENIXLTD,2016-11-22,2016-11-28,352.56,0.05,335.05,398.95,0.17,0.04,-0.0,0.13
UNITECH,2016-11-22,2016-11-28,4.58,0.03,4.2,4.9,0.15,0.04,0.0,0.07
HFCL,2016-11-22,2016-11-28,12.45,0.04,11.15,13.0,0.15,0.04,-0.0,0.1
JETAIRWAYS,2016-11-22,2016-11-28,364.23,0.03,340.8,394.4,0.15,0.04,-0.02,0.06
INTELLECT,2016-11-22,2016-11-28,135.15,0.02,122.9,142.6,0.15,0.04,0.0,0.06
MERCK,2016-11-22,2016-11-28,919.05,0.02,872.6,1005.95,0.14,0.04,0.01,0.07
ZEELEARN,2016-11-22,2016-11-28,35.55,0.01,33.2,38.3,0.14,0.04,0.02,0.05
MRPL,2016-11-22,2016-11-28,90.86,0.06,88.2,101.05,0.14,0.03,-0.01,0.14
ANANTRAJ,2016-11-22,2016-11-28,36.37,0.02,33.6,38.1,0.13,0.03,0.01,0.06
BALLARPUR,2016-11-22,2016-11-28,15.73,0.03,14.55,16.55,0.13,0.03,-0.0,0.08
CAPF,2016-11-22,2016-11-28,528.63,0.04,485.75,551.8,0.13,0.03,-0.01,0.08
ADANIPOWER,2016-11-22,2016-11-28,24.89,0.05,24.0,27.25,0.13,0.03,-0.03,0.11
TNPL,2016-11-22,2016-11-28,341.11,0.03,323.45,367.6,0.13,0.03,-0.01,0.06
MAGMA,2016-11-22,2016-11-28,95.2,0.05,90.95,102.1,0.12,0.03,-0.05,0.08
BALMLAWRIE,2016-11-22,2016-11-28,864.21,0.02,829.1,933.45,0.12,0.03,0.01,0.07
SHARDACROP,2016-11-22,2016-11-28,392.93,0.02,373.85,420.85,0.12,0.03,0.02,0.06
HINDZINC,2016-11-22,2016-11-28,268.38,0.02,253.0,284.5,0.12,0.03,-0.0,0.06
MMTC,2016-11-22,2016-11-28,44.0,0.01,41.4,46.45,0.12,0.03,0.02,0.05
SRTRANSFIN,2016-11-22,2016-11-28,878.32,0.01,825.5,928.0,0.12,0.03,0.02,0.05
FORTIS,2016-11-22,2016-11-28,173.28,0.03,162.95,183.45,0.12,0.03,-0.02,0.06
SWANENERGY,2016-11-22,2016-11-28,137.4,0.08,130.55,147.8,0.12,0.03,-0.06,0.15
KESORAMIND,2016-11-22,2016-11-28,133.2,0.03,124.4,139.6,0.12,0.03,-0.0,0.06
JMFINANCIL,2016-11-22,2016-11-28,60.73,0.04,58.8,66.35,0.12,0.03,-0.01,0.09
NILKAMAL,2016-11-22,2016-11-28,1316.42,0.01,1243.1,1404.55,0.12,0.03,0.01,0.04
KAJARIACER,2016-11-22,2016-11-28,495.1,0.03,465.25,519.35,0.11,0.03,0.0,0.07
KSCL,2016-11-22,2016-11-28,388.02,0.01,367.95,410.4,0.11,0.03,0.01,0.04
CENTURYTEX,2016-11-22,2016-11-28,736.11,0.02,690.15,768.3,0.11,0.03,0.01,0.06
SFCL,2016-11-22,2016-11-28,94.48,0.03,87.3,97.1,0.11,0.03,-0.02,0.06
LAKSHVILAS,2016-11-22,2016-11-28,140.55,0.03,132.1,147.0,0.11,0.03,-0.01,0.07
BLISSGVS,2016-11-22,2016-11-28,132.15,0.01,124.55,139.05,0.11,0.03,0.01,0.04
RKFORGE,2016-11-22,2016-11-28,299.66,0.06,275.15,307.85,0.11,0.03,-0.04,0.13
JKCEMENT,2016-11-22,2016-11-28,676.05,0.03,644.9,709.5,0.1,0.02,-0.03,0.06
CADILAHC,2016-11-22,2016-11-28,395.11,0.02,371.2,410.85,0.1,0.03,0.01,0.05
DREDGECORP,2016-11-22,2016-11-28,387.87,0.01,371.7,412.45,0.1,0.03,0.01,0.05
JKIL,2016-11-22,2016-11-28,183.14,0.04,175.6,194.8,0.1,0.03,-0.01,0.08
VEDL,2016-11-22,2016-11-28,219.47,0.01,206.9,228.6,0.1,0.02,0.01,0.05
JAICORPLTD,2016-11-22,2016-11-28,55.45,0.02,52.95,58.5,0.1,0.02,-0.0,0.04
PEL,2016-11-22,2016-11-28,1620.77,0.04,1499.7,1650.05,0.1,0.02,-0.01,0.1
EROSMEDIA,2016-11-22,2016-11-28,157.8,0.01,151.95,167.7,0.1,0.02,0.0,0.04
PIIND,2016-11-22,2016-11-28,839.15,0.04,797.45,880.95,0.1,0.02,-0.02,0.1
OCL,2016-11-22,2016-11-28,744.69,0.02,712.4,786.6,0.1,0.02,-0.01,0.04
ALLCARGO,2016-11-22,2016-11-28,166.59,0.02,155.55,172.35,0.1,0.03,0.0,0.05
NATIONALUM,2016-11-22,2016-11-28,54.26,0.03,52.0,57.45,0.1,0.02,-0.0,0.07
RALLIS,2016-11-22,2016-11-28,194.85,0.01,185.7,203.45,0.09,0.02,0.01,0.04
GMDCLTD,2016-11-22,2016-11-28,101.38,0.02,95.3,103.8,0.09,0.02,-0.01,0.05
JKLAKSHMI,2016-11-22,2016-11-28,365.72,0.03,346.95,378.6,0.09,0.02,-0.02,0.06
NHPC,2016-11-22,2016-11-28,26.56,0.01,25.4,27.9,0.09,0.02,0.01,0.03
SCHNEIDER,2016-11-22,2016-11-28,139.16,0.03,130.6,142.75,0.09,0.02,-0.01,0.08
TVSSRICHAK,2016-11-22,2016-11-28,3279.96,0.02,3120.65,3401.8,0.09,0.02,-0.0,0.04
MTNL,2016-11-22,2016-11-28,16.54,0.02,15.8,17.25,0.09,0.02,-0.01,0.04
KITEX,2016-11-22,2016-11-28,376.66,0.02,356.85,390.4,0.09,0.02,-0.0,0.05
HINDCOPPER,2016-11-22,2016-11-28,58.68,0.02,56.0,61.3,0.09,0.02,0.0,0.04
EDELWEISS,2016-11-22,2016-11-28,93.9,0.04,91.1,99.75,0.09,0.02,-0.04,0.05
IBREALEST,2016-11-22,2016-11-28,67.44,0.06,62.75,68.45,0.09,0.02,-0.04,0.09
ESCORTS,2016-11-22,2016-11-28,303.82,0.02,291.95,318.9,0.09,0.02,-0.01,0.04
GVKPIL,2016-11-22,2016-11-28,5.6,0.03,5.25,5.7,0.08,0.02,-0.03,0.05
CAIRN,2016-11-22,2016-11-28,242.05,0.02,231.5,250.0,0.08,0.02,-0.0,0.04
NMDC,2016-11-22,2016-11-28,118.67,0.01,113.8,122.7,0.08,0.02,0.0,0.04
TECHM,2016-11-22,2016-11-28,468.35,0.02,453.4,489.35,0.08,0.02,-0.0,0.06
AIAENG,2016-11-22,2016-11-28,1245.95,0.03,1230.4,1327.45,0.08,0.02,-0.03,0.05
