Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
ROLTA,2016-12-06,2016-12-12,55.5,0.08,52.6,65.4,0.22,0.05,-0.01,0.18
IFCI,2016-12-06,2016-12-12,24.64,0.07,23.0,26.45,0.14,0.03,-0.03,0.15
INTELLECT,2016-12-06,2016-12-12,154.54,0.08,146.4,165.0,0.12,0.03,-0.04,0.17
MTNL,2016-12-06,2016-12-12,18.59,0.01,17.7,19.7,0.11,0.03,0.02,0.05
COROMANDEL,2016-12-06,2016-12-12,270.2,0.02,255.25,282.4,0.1,0.03,-0.01,0.05
NATIONALUM,2016-12-06,2016-12-12,66.09,0.06,61.75,67.45,0.09,0.02,-0.03,0.11
JKIL,2016-12-06,2016-12-12,191.92,0.02,186.75,204.4,0.09,0.02,-0.0,0.06
SYNGENE,2016-12-06,2016-12-12,602.54,0.02,577.8,634.25,0.09,0.02,0.0,0.06
BALMLAWRIE,2016-12-06,2016-12-12,1078.44,0.01,1045.5,1127.8,0.08,0.02,-0.0,0.03
PRAJIND,2016-12-06,2016-12-12,77.89,0.02,73.9,79.85,0.08,0.02,-0.0,0.05
BHARATFORG,2016-12-06,2016-12-12,940.85,0.02,896.8,968.1,0.08,0.02,-0.0,0.05
SHARDACROP,2016-12-06,2016-12-12,437.85,0.03,430.65,459.95,0.07,0.02,-0.01,0.06
SITINET,2016-12-06,2016-12-12,35.77,0.02,35.05,37.5,0.07,0.02,-0.01,0.04
TATAELXSI,2016-12-06,2016-12-12,1411.75,0.02,1380.6,1483.5,0.07,0.02,-0.0,0.04
SAIL,2016-12-06,2016-12-12,53.39,0.01,51.2,54.95,0.07,0.02,-0.01,0.03
EROSMEDIA,2016-12-06,2016-12-12,174.34,0.01,169.65,181.15,0.07,0.02,0.01,0.04
TTKPRESTIG,2016-12-06,2016-12-12,5331.71,0.01,5201.4,5589.6,0.07,0.02,-0.01,0.03
STCINDIA,2016-12-06,2016-12-12,124.13,0.02,118.55,127.0,0.07,0.02,-0.01,0.05
VEDL,2016-12-06,2016-12-12,239.15,0.02,229.1,246.8,0.07,0.02,0.01,0.05
CHAMBLFERT,2016-12-06,2016-12-12,70.58,0.03,66.75,71.45,0.07,0.02,-0.01,0.05
