,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
ALKEM,2016-11-23,2016-12-06,1697.25,0.01,1702.15,1690.8,-0.01,-0.0,-0.02,0.01
CONCOR,2016-11-23,2016-12-06,1150.05,0.02,1127.25,1111.6,-0.01,-0.0,-0.02,0.05
POLARIS,2016-11-23,2016-12-06,161.03,0.02,162.8,160.85,-0.01,-0.0,-0.03,0.03
RADICO,2016-11-23,2016-12-06,118.72,0.02,119.9,118.45,-0.01,-0.0,-0.04,0.03
MANPASAND,2016-11-23,2016-12-06,624.3,0.03,618.0,613.15,-0.01,-0.0,-0.04,0.08
VGUARD,2016-11-23,2016-12-06,171.19,0.01,172.45,171.3,-0.01,-0.0,-0.02,0.01
RTNPOWER,2016-11-23,2016-12-06,7.32,0.03,7.1,7.0,-0.01,-0.0,-0.06,0.03
GILLETTE,2016-11-23,2016-12-06,4324.11,0.01,4358.7,4320.05,-0.01,-0.0,-0.02,0.02
ASIANPAINT,2016-11-23,2016-12-06,940.39,0.02,942.05,934.15,-0.01,-0.0,-0.04,0.04
KANSAINER,2016-11-23,2016-12-06,338.93,0.01,336.3,331.6,-0.01,-0.0,-0.03,0.01
BALRAMCHIN,2016-11-23,2016-12-06,120.33,0.01,120.3,119.45,-0.01,-0.0,-0.02,0.01
JCHAC,2016-11-23,2016-12-06,1373.97,0.02,1363.6,1354.6,-0.01,-0.0,-0.02,0.03
ASTRAL,2016-11-23,2016-12-06,400.95,0.01,404.1,395.95,-0.02,-0.0,-0.01,0.01
INFIBEAM,2016-11-23,2016-12-06,1169.57,0.02,1162.7,1139.65,-0.02,-0.0,-0.03,0.03
JBFIND,2016-11-23,2016-12-06,200.94,0.02,203.25,199.05,-0.02,-0.0,-0.03,0.03
TRITURBINE,2016-11-23,2016-12-06,116.84,0.01,118.7,116.1,-0.02,-0.0,-0.01,0.01
BIRLACORPN,2016-11-23,2016-12-06,663.66,0.01,667.05,651.2,-0.02,-0.0,-0.02,0.02
INDIANB,2016-11-23,2016-12-06,243.53,0.02,245.0,240.7,-0.02,-0.0,-0.03,0.05
ZEEL,2016-11-23,2016-12-06,449.64,0.02,457.1,446.7,-0.02,-0.0,-0.04,0.04
APLLTD,2016-11-23,2016-12-06,643.98,0.01,644.4,630.55,-0.02,-0.0,-0.03,0.02
PCJEWELLER,2016-11-23,2016-12-06,365.27,0.02,366.5,360.5,-0.02,-0.0,-0.05,0.02
AMARAJABAT,2016-11-23,2016-12-06,928.28,0.01,938.35,922.4,-0.02,-0.0,-0.02,0.01
