Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
SWANENERGY,2016-11-08,2016-11-14,127.19,0.05,113.1,134.45,0.17,0.04,-0.0,0.12
VIJAYABANK,2016-11-08,2016-11-14,46.6,0.07,41.85,48.95,0.16,0.04,-0.02,0.15
INDIANB,2016-11-08,2016-11-14,242.45,0.09,216.0,250.5,0.15,0.04,-0.07,0.17
WELCORP,2016-11-08,2016-11-14,69.48,0.09,65.05,73.65,0.12,0.03,-0.06,0.18
BANKINDIA,2016-11-08,2016-11-14,117.4,0.06,109.0,122.05,0.11,0.03,-0.02,0.12
UCOBANK,2016-11-08,2016-11-14,35.53,0.04,33.3,37.1,0.11,0.03,-0.0,0.1
UNIONBANK,2016-11-08,2016-11-14,137.82,0.05,129.55,143.9,0.11,0.03,-0.01,0.11
PNB,2016-11-08,2016-11-14,150.7,0.05,140.6,155.7,0.1,0.03,-0.02,0.11
WABAG,2016-11-08,2016-11-14,501.97,0.04,467.2,512.3,0.09,0.02,-0.02,0.06
DENABANK,2016-11-08,2016-11-14,36.47,0.06,34.7,37.95,0.09,0.02,-0.03,0.12
KEC,2016-11-08,2016-11-14,135.71,0.05,130.55,140.75,0.08,0.02,-0.03,0.1
SBIN,2016-11-08,2016-11-14,267.99,0.04,252.65,273.0,0.08,0.02,-0.03,0.08
DHANUKA,2016-11-08,2016-11-14,715.0,0.03,685.75,741.7,0.08,0.02,-0.01,0.07
SUNPHARMA,2016-11-08,2016-11-14,667.67,0.02,635.4,688.0,0.08,0.02,0.0,0.04
NATCOPHARM,2016-11-08,2016-11-14,604.39,0.02,571.55,620.0,0.08,0.02,0.0,0.04
MYSOREBANK,2016-11-08,2016-11-14,571.07,0.04,541.1,581.6,0.07,0.02,-0.03,0.08
BALMLAWRIE,2016-11-08,2016-11-14,3187.96,0.02,3085.6,3313.8,0.07,0.02,-0.01,0.05
BANKBARODA,2016-11-08,2016-11-14,157.23,0.04,148.95,160.5,0.07,0.02,-0.03,0.09
SBBJ,2016-11-08,2016-11-14,726.19,0.04,686.25,739.15,0.07,0.02,-0.03,0.08
SBT,2016-11-08,2016-11-14,570.71,0.04,540.45,581.05,0.07,0.02,-0.03,0.08
SYNDIBANK,2016-11-08,2016-11-14,69.54,0.05,67.0,70.9,0.06,0.01,-0.03,0.1
ORIENTBANK,2016-11-08,2016-11-14,120.96,0.04,116.05,123.55,0.06,0.02,-0.02,0.09
INDOCO,2016-11-08,2016-11-14,287.84,0.02,275.5,293.0,0.06,0.02,-0.0,0.03
RECLTD,2016-11-08,2016-11-14,131.44,0.03,125.4,133.0,0.06,0.01,-0.03,0.06
CANBK,2016-11-08,2016-11-14,308.36,0.03,296.65,311.9,0.05,0.01,-0.03,0.07
CORPBANK,2016-11-08,2016-11-14,41.5,0.03,40.05,42.2,0.05,0.01,-0.02,0.07
ALBK,2016-11-08,2016-11-14,72.15,0.04,70.05,74.0,0.05,0.01,-0.03,0.09
SYNGENE,2016-11-08,2016-11-14,564.34,0.02,548.9,569.7,0.04,0.01,-0.01,0.04
KTKBANK,2016-11-08,2016-11-14,121.77,0.04,116.7,121.3,0.04,0.01,-0.05,0.05
TATASTEEL,2016-11-08,2016-11-14,419.6,0.05,408.65,426.5,0.04,0.01,-0.02,0.09
HINDCOPPER,2016-11-08,2016-11-14,59.08,0.03,58.15,60.45,0.04,0.01,-0.03,0.06
VEDL,2016-11-08,2016-11-14,225.28,0.02,219.85,229.8,0.04,0.01,-0.01,0.05
JSWSTEEL,2016-11-08,2016-11-14,17072.7,0.02,16569.0,17211.0,0.04,0.01,-0.02,0.04
DRREDDY,2016-11-08,2016-11-14,3238.46,0.02,3119.0,3256.25,0.04,0.01,-0.01,0.05
JINDALSTEL,2016-11-08,2016-11-14,73.68,0.05,72.2,74.9,0.04,0.01,-0.03,0.09
JBCHEPHARM,2016-11-08,2016-11-14,357.52,0.01,352.7,361.9,0.03,0.01,0.0,0.02
CAIRN,2016-11-08,2016-11-14,249.1,0.02,245.15,252.15,0.03,0.01,-0.01,0.04
PFS,2016-11-08,2016-11-14,40.09,0.04,38.7,39.7,0.03,0.01,-0.03,0.07
SPARC,2016-11-08,2016-11-14,319.45,0.02,310.75,320.7,0.03,0.01,-0.01,0.04
PFC,2016-11-08,2016-11-14,117.79,0.03,114.6,118.25,0.03,0.01,-0.03,0.04
POWERGRID,2016-11-08,2016-11-14,182.37,0.03,177.0,183.1,0.03,0.01,-0.03,0.04
FDC,2016-11-08,2016-11-14,220.69,0.03,216.15,223.75,0.03,0.01,-0.01,0.06
JUSTDIAL,2016-11-08,2016-11-14,395.91,0.03,394.15,404.85,0.03,0.01,-0.04,0.05
HINDALCO,2016-11-08,2016-11-14,169.97,0.04,167.4,172.3,0.03,0.01,-0.03,0.08
ALKEM,2016-11-08,2016-11-14,1635.45,0.02,1592.3,1643.55,0.03,0.01,-0.01,0.04
