Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
JPASSOCIAT,2017-01-02,2017-01-06,9.45,0.08,8.3,10.4,0.23,0.06,-0.01,0.18
CHAMBLFERT,2017-01-02,2017-01-06,77.99,0.04,71.35,85.95,0.19,0.05,-0.01,0.11
NITINFIRE,2017-01-02,2017-01-06,26.27,0.03,24.45,28.0,0.14,0.03,0.01,0.09
CHENNPETRO,2017-01-02,2017-01-06,308.81,0.03,282.85,321.6,0.13,0.03,0.01,0.07
RKFORGE,2017-01-02,2017-01-06,326.24,0.03,299.95,342.6,0.13,0.03,0.01,0.09
RCF,2017-01-02,2017-01-06,50.7,0.02,47.95,54.55,0.13,0.03,-0.0,0.06
JUBILANT,2017-01-02,2017-01-06,679.18,0.05,621.95,704.45,0.12,0.03,-0.02,0.11
DCMSHRIRAM,2017-01-02,2017-01-06,224.64,0.03,217.35,239.45,0.1,0.02,-0.02,0.06
YESBANK,2017-01-02,2017-01-06,1185.53,0.01,1144.65,1246.75,0.09,0.02,0.0,0.04
THERMAX,2017-01-02,2017-01-06,780.79,0.02,737.6,805.35,0.09,0.02,-0.01,0.04
MRPL,2017-01-02,2017-01-06,105.51,0.02,99.15,108.8,0.09,0.02,-0.01,0.05
DEN,2017-01-02,2017-01-06,69.88,0.03,66.0,72.05,0.09,0.02,-0.02,0.06
GEPIL,2017-01-02,2017-01-06,507.88,0.02,476.4,520.65,0.09,0.02,-0.0,0.06
JPINFRATEC,2017-01-02,2017-01-06,7.99,0.05,7.55,8.25,0.09,0.02,-0.04,0.08
RADICO,2017-01-02,2017-01-06,116.45,0.03,110.65,121.3,0.09,0.02,-0.01,0.05
ZEELEARN,2017-01-02,2017-01-06,42.23,0.02,39.9,43.55,0.09,0.02,-0.01,0.05
SINTEX,2017-01-02,2017-01-06,80.47,0.03,75.15,82.2,0.09,0.02,-0.01,0.07
BOMDYEING,2017-01-02,2017-01-06,51.2,0.03,48.75,53.35,0.09,0.02,-0.01,0.06
SUNTECK,2017-01-02,2017-01-06,238.58,0.03,223.35,243.05,0.08,0.02,-0.01,0.05
RAJESHEXPO,2017-01-02,2017-01-06,488.41,0.02,466.2,504.75,0.08,0.02,-0.01,0.04
AVANTIFEED,2017-01-02,2017-01-06,501.91,0.02,490.0,528.85,0.08,0.02,0.0,0.04
MOIL,2017-01-02,2017-01-06,382.44,0.02,368.6,401.25,0.08,0.02,-0.0,0.05
JKIL,2017-01-02,2017-01-06,218.22,0.02,211.4,228.55,0.08,0.02,-0.0,0.05
UNITECH,2017-01-02,2017-01-06,4.49,0.03,4.3,4.65,0.08,0.02,-0.02,0.07
JUSTDIAL,2017-01-02,2017-01-06,361.74,0.07,345.85,376.05,0.08,0.02,-0.05,0.14
NATCOPHARM,2017-01-02,2017-01-06,596.83,0.02,584.6,624.95,0.07,0.02,-0.0,0.05
CUB,2017-01-02,2017-01-06,133.45,0.01,129.7,138.8,0.07,0.02,-0.01,0.03
SNOWMAN,2017-01-02,2017-01-06,54.72,0.03,51.7,55.2,0.07,0.02,-0.02,0.06
DEEPAKFERT,2017-01-02,2017-01-06,219.51,0.01,210.3,225.8,0.07,0.02,0.01,0.03
CADILAHC,2017-01-02,2017-01-06,363.58,0.01,354.5,379.45,0.07,0.02,0.0,0.03
TECHNO,2017-01-02,2017-01-06,313.8,0.02,303.1,325.65,0.07,0.02,0.0,0.04
ADANIPOWER,2017-01-02,2017-01-06,31.64,0.01,30.6,32.7,0.07,0.02,0.0,0.03
JINDALPOLY,2017-01-02,2017-01-06,337.07,0.01,321.5,344.65,0.07,0.02,0.0,0.04
SEQUENT,2017-01-02,2017-01-06,118.04,0.02,114.7,123.0,0.07,0.02,0.0,0.04
