Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
ALOKTEXT,2016-12-13,2016-12-19,2.85,0.08,2.7,3.35,0.22,0.05,-0.02,0.18
RAMCOSYS,2016-12-13,2016-12-19,315.99,0.06,298.15,346.4,0.15,0.04,-0.03,0.13
SONATSOFTW,2016-12-13,2016-12-19,181.33,0.04,173.05,196.1,0.13,0.03,-0.01,0.07
MPHASIS,2016-12-13,2016-12-19,546.73,0.01,519.15,565.6,0.09,0.02,0.0,0.03
GSFC,2016-12-13,2016-12-19,89.86,0.04,88.4,95.6,0.08,0.02,-0.01,0.08
SHILPAMED,2016-12-13,2016-12-19,706.72,0.02,674.2,725.1,0.07,0.02,-0.01,0.06
DEEPAKFERT,2016-12-13,2016-12-19,204.51,0.03,197.55,212.25,0.07,0.02,-0.03,0.05
BALLARPUR,2016-12-13,2016-12-19,15.61,0.02,14.9,15.75,0.06,0.01,-0.01,0.05
NAVINFLUOR,2016-12-13,2016-12-19,2395.91,0.01,2341.45,2474.1,0.06,0.01,0.01,0.02
HFCL,2016-12-13,2016-12-19,12.92,0.03,12.35,13.1,0.06,0.01,-0.01,0.06
TEXRAIL,2016-12-13,2016-12-19,111.26,0.02,109.35,115.55,0.06,0.01,-0.02,0.03
WONDERLA,2016-12-13,2016-12-19,341.98,0.03,326.8,346.4,0.06,0.01,-0.03,0.05
IFCI,2016-12-13,2016-12-19,27.05,0.02,26.3,27.9,0.06,0.01,-0.01,0.05
IGL,2016-12-13,2016-12-19,891.26,0.02,855.3,911.55,0.06,0.02,-0.0,0.04
CANFINHOME,2016-12-13,2016-12-19,1648.92,0.02,1611.9,1697.85,0.05,0.01,-0.01,0.04
RELCAPITAL,2016-12-13,2016-12-19,442.37,0.02,435.7,456.9,0.05,0.01,-0.01,0.03
RELINFRA,2016-12-13,2016-12-19,492.33,0.02,481.9,505.0,0.05,0.01,-0.02,0.04
MERCK,2016-12-13,2016-12-19,1016.41,0.01,980.7,1032.2,0.05,0.01,-0.01,0.03
KPRMILL,2016-11-22,2016-11-28,1116.43,0.03,1081.85,1129.9,0.04,0.01,-0.02,0.04
PRESTIGE,2016-12-13,2016-12-19,164.6,0.02,158.45,165.15,0.04,0.01,-0.02,0.03
TCS,2016-12-13,2016-12-19,2247.75,0.01,2200.3,2288.9,0.04,0.01,0.0,0.02
GRANULES,2016-12-13,2016-12-19,114.14,0.02,111.2,115.6,0.04,0.01,-0.0,0.04
BIOCON,2016-12-13,2016-12-19,949.22,0.03,935.35,967.15,0.03,0.01,-0.02,0.05
UCOBANK,2016-12-13,2016-12-19,34.28,0.02,33.9,34.8,0.03,0.01,-0.01,0.04
UFLEX,2016-12-13,2016-12-19,261.49,0.01,259.35,266.85,0.03,0.01,-0.01,0.03
CUMMINSIND,2016-12-13,2016-12-19,798.2,0.01,779.45,806.05,0.03,0.01,-0.01,0.02
DCBBANK,2016-12-13,2016-12-19,107.65,0.01,106.3,109.0,0.03,0.01,-0.0,0.01
IBREALEST,2016-12-13,2016-12-19,70.71,0.01,70.2,72.15,0.03,0.01,-0.01,0.03
TAKE,2016-12-13,2016-12-19,140.9,0.02,137.75,141.85,0.03,0.01,-0.02,0.03
GAYAPROJ,2016-12-13,2016-12-19,606.4,0.02,609.0,625.1,0.03,0.01,-0.02,0.04
GLENMARK,2016-12-13,2016-12-19,920.1,0.01,913.0,942.05,0.03,0.01,-0.0,0.03
HCLTECH,2016-12-13,2016-12-19,819.84,0.01,800.95,824.7,0.03,0.01,-0.01,0.02
AXISBANK,2016-12-13,2016-12-19,467.73,0.02,452.95,467.6,0.03,0.01,-0.01,0.03
JAICORPLTD,2016-12-13,2016-12-19,67.46,0.04,68.55,70.3,0.03,0.01,-0.03,0.07
JSWENERGY,2016-12-13,2016-12-19,60.04,0.02,58.75,60.4,0.03,0.01,-0.03,0.04
KPIT,2016-12-13,2016-12-19,136.56,0.01,133.6,138.0,0.03,0.01,-0.01,0.02
MTNL,2016-12-13,2016-12-19,18.87,0.04,19.05,19.6,0.03,0.01,-0.02,0.07
PAGEIND,2016-12-13,2016-12-19,13742.0,0.01,13625.3,13980.2,0.03,0.01,-0.01,0.02
VAKRANGEE,2016-12-13,2016-12-19,271.69,0.01,267.3,274.3,0.03,0.01,-0.01,0.01
PETRONET,2016-12-13,2016-12-19,379.49,0.01,375.8,387.05,0.03,0.01,-0.01,0.03
ADANIENT,2016-12-13,2016-12-19,72.29,0.01,70.9,73.15,0.03,0.01,-0.01,0.03
AARTIIND,2016-12-13,2016-12-19,708.82,0.03,683.65,707.3,0.03,0.01,-0.02,0.06
ASHOKA,2016-12-13,2016-12-19,155.08,0.01,153.4,157.6,0.03,0.01,-0.01,0.02
ALLCARGO,2016-12-13,2016-12-19,169.04,0.02,165.85,171.7,0.03,0.01,-0.01,0.04
CHOLAFIN,2016-12-13,2016-12-19,835.49,0.03,838.35,856.9,0.02,0.01,-0.03,0.04
KANSAINER,2016-12-13,2016-12-19,335.18,0.02,336.55,342.1,0.02,0.0,-0.02,0.03
REDINGTON,2016-12-13,2016-12-19,94.29,0.02,93.1,95.4,0.02,0.01,-0.02,0.04
RELIANCE,2016-12-13,2016-12-19,1054.39,0.01,1039.8,1062.55,0.02,0.01,-0.01,0.02
AIAENG,2016-12-13,2016-12-19,1282.66,0.02,1267.55,1287.35,0.02,0.0,-0.02,0.03
JKIL,2016-12-13,2016-12-19,207.59,0.01,206.7,210.2,0.02,0.0,-0.01,0.02
RIIL,2016-12-13,2016-12-19,389.89,0.01,389.85,396.5,0.02,0.0,-0.01,0.03
IRB,2016-12-13,2016-12-19,195.04,0.01,194.75,197.85,0.02,0.0,-0.01,0.03
INDIGO,2016-12-13,2016-12-19,825.34,0.01,816.25,832.8,0.02,0.01,0.0,0.01
ZYDUSWELL,2016-12-13,2016-12-19,853.91,0.0,846.2,859.55,0.02,0.0,-0.0,0.01
IGARASHI,2016-12-13,2016-12-19,715.95,0.03,724.35,736.45,0.02,0.0,-0.04,0.03
BIRLACORPN,2016-12-13,2016-12-19,622.38,0.01,615.6,625.5,0.02,0.0,-0.01,0.02
DALMIABHA,2016-12-13,2016-12-19,1485.27,0.01,1462.4,1486.0,0.02,0.0,-0.01,0.02
HCC,2016-12-13,2016-12-19,40.31,0.03,39.0,39.9,0.02,0.01,-0.02,0.05
TATACOMM,2016-12-13,2016-12-19,634.91,0.02,629.9,644.4,0.02,0.01,-0.02,0.03
GRUH,2016-12-13,2016-12-19,320.14,0.02,315.6,320.8,0.02,0.0,-0.02,0.02
SUNTECK,2016-12-13,2016-12-19,226.5,0.01,226.75,230.3,0.02,0.0,-0.02,0.01
ESSELPACK,2016-12-13,2016-12-19,244.98,0.02,245.3,250.7,0.02,0.01,-0.02,0.03
FORTIS,2016-12-13,2016-12-19,180.43,0.02,175.65,178.5,0.02,0.0,-0.03,0.03
FDC,2016-12-13,2016-12-19,221.76,0.01,216.95,221.3,0.02,0.0,-0.01,0.02
SEQUENT,2016-12-13,2016-12-19,110.59,0.01,108.75,111.3,0.02,0.01,-0.01,0.02
FINPIPE,2016-12-13,2016-12-19,429.48,0.0,424.85,433.2,0.02,0.0,0.0,0.01
BHUSANSTL,2016-12-13,2016-12-19,40.77,0.01,40.15,40.9,0.02,0.0,-0.02,0.02
OBEROIRLTY,2016-12-13,2016-12-19,311.75,0.04,303.6,309.35,0.02,0.0,-0.06,0.05
LAXMIMACH,2016-12-13,2016-12-19,3937.26,0.02,3908.2,4005.7,0.02,0.01,-0.02,0.03
BASF,2016-12-13,2016-12-19,1102.32,0.03,1062.1,1084.35,0.02,0.01,-0.03,0.04
MINDTREE,2016-12-13,2016-12-19,498.43,0.01,492.5,500.1,0.02,0.0,-0.02,0.02
KSBPUMPS,2016-12-13,2016-12-19,603.52,0.02,593.25,597.75,0.01,0.0,-0.02,0.03
WABCOINDIA,2016-12-13,2016-12-19,5046.65,0.01,5003.4,5046.1,0.01,0.0,-0.0,0.01
CYIENT,2016-12-13,2016-12-19,508.71,0.01,502.55,506.95,0.01,0.0,-0.01,0.02
WELCORP,2016-12-13,2016-12-19,77.02,0.02,75.65,76.7,0.01,0.0,-0.02,0.03
TATAGLOBAL,2016-12-13,2016-12-19,123.83,0.01,123.35,124.3,0.01,0.0,-0.0,0.01
DCMSHRIRAM,2016-12-13,2016-12-19,216.63,0.02,213.05,215.65,0.01,0.0,-0.04,0.03
HATHWAY,2016-12-13,2016-12-19,35.04,0.03,34.3,34.7,0.01,0.0,-0.03,0.06
GUJGASLTD,2016-12-13,2016-12-19,547.11,0.01,544.65,547.95,0.01,0.0,-0.01,0.02
DHANUKA,2016-12-13,2016-12-19,706.37,0.01,709.1,717.5,0.01,0.0,-0.01,0.02
TATACHEM,2016-12-13,2016-12-19,481.61,0.01,484.7,489.05,0.01,0.0,-0.02,0.02
VTL,2016-12-13,2016-12-19,1106.33,0.01,1096.9,1110.35,0.01,0.0,-0.01,0.01
PERSISTENT,2016-12-13,2016-12-19,605.89,0.01,599.75,607.85,0.01,0.0,-0.01,0.01
GODREJPROP,2016-12-13,2016-12-19,302.47,0.01,298.9,302.1,0.01,0.0,-0.01,0.02
GODREJIND,2016-12-13,2016-12-19,416.62,0.02,413.15,419.35,0.01,0.0,-0.03,0.02
GODREJCP,2016-12-13,2016-12-19,1455.2,0.01,1443.15,1450.7,0.01,0.0,-0.02,0.02
GMRINFRA,2016-12-13,2016-12-19,11.77,0.01,11.75,11.85,0.01,0.0,-0.01,0.01
ENGINERSIN,2016-12-13,2016-12-19,618.16,0.02,625.8,632.0,0.01,0.0,-0.02,0.03
PGHH,2016-12-13,2016-12-19,6861.55,0.02,6800.65,6889.85,0.01,0.0,-0.02,0.03
EXIDEIND,2016-12-13,2016-12-19,174.0,0.01,172.75,175.35,0.01,0.0,-0.01,0.02
OFSS,2016-12-13,2016-12-19,3156.43,0.0,3134.5,3166.45,0.01,0.0,-0.0,0.01
PCJEWELLER,2016-12-13,2016-12-19,366.56,0.03,361.25,366.3,0.01,0.0,-0.03,0.03
ICRA,2016-12-13,2016-12-19,3909.53,0.0,3897.9,3934.25,0.01,0.0,-0.0,0.0
HMVL,2016-12-13,2016-12-19,266.81,0.02,266.6,270.2,0.01,0.0,-0.02,0.02
JBFIND,2016-12-13,2016-12-19,205.7,0.01,204.25,206.75,0.01,0.0,-0.0,0.01
SUPRAJIT,2016-12-13,2016-12-19,195.61,0.02,194.8,197.4,0.01,0.0,-0.01,0.03
ITDCEM,2016-12-13,2016-12-19,148.5,0.01,148.1,148.85,0.01,0.0,-0.01,0.01
ASHOKLEY,2016-12-13,2016-12-19,77.85,0.01,77.9,78.7,0.01,0.0,-0.01,0.01
IOC,2016-12-13,2016-12-19,299.87,0.01,301.0,305.05,0.01,0.0,-0.01,0.03
MAHLIFE,2016-12-13,2016-12-19,360.62,0.01,358.3,360.8,0.01,0.0,-0.01,0.01
RDEL,2016-12-13,2016-12-19,54.21,0.02,54.6,55.35,0.01,0.0,-0.02,0.04
INOXLEISUR,2016-12-13,2016-12-19,220.57,0.01,218.5,221.8,0.01,0.0,-0.01,0.01
CAPF,2016-12-13,2016-12-19,542.74,0.01,536.6,539.5,0.01,0.0,-0.01,0.02
INFY,2016-12-13,2016-12-19,998.42,0.01,990.2,1004.65,0.01,0.0,-0.01,0.01
RPOWER,2016-12-13,2016-12-19,42.17,0.01,42.25,42.75,0.01,0.0,-0.01,0.02
KTKBANK,2016-12-13,2016-12-19,112.48,0.02,112.55,113.45,0.01,0.0,-0.02,0.02
KRBL,2016-12-13,2016-12-19,292.37,0.02,286.9,291.0,0.01,0.0,-0.02,0.03
RAIN,2016-12-13,2016-12-19,54.1,0.01,53.4,54.1,0.01,0.0,-0.01,0.02
KITEX,2016-12-13,2016-12-19,410.55,0.0,410.05,411.7,0.0,0.0,-0.0,0.0
NMDC,2016-12-13,2016-12-19,128.32,0.01,128.3,127.8,-0.0,-0.0,-0.02,0.02
GRINDWELL,2016-12-13,2016-12-19,329.33,0.01,328.7,327.55,-0.0,-0.0,-0.01,0.01
MHRIL,2016-12-13,2016-12-19,398.23,0.01,398.15,399.8,0.0,0.0,-0.01,0.02
MFSL,2016-12-13,2016-12-19,557.74,0.0,557.0,558.9,0.0,0.0,-0.0,0.01
