,Stock_Name,Stock_Symbol
0,Allahabad Bank,ALBK
1,Andhra Bank,ANDHRABANK
2,Bank of Baroda,BANKBARODA
3,Bank of India,BANKINDIA
4,Bank of Mah,MAHABANK
5,Canara Bank,CANBK
6,Central Bank,CENTRALBK
7,Corporation Bk,CORPBANK
8,Dena Bank,DENABANK
9,IDBI Bank,IDBI
10,Indian Bank,INDIANB
11,IOB,IOB
12,Oriental Bank,ORIENTBANK
13,PNB,PNB
14,Punjab & Sind,PSB
15,SBI,SBIN
16,State B Bikaner,SBBJ
17,State Bk Mysore,MYSOREBANK
18,State Bk Travan,SBT
19,Syndicate Bank,SYNDIBANK
20,UCO Bank,UCOBANK
21,Union Bank,UNIONBANK
22,United Bank,UNITEDBNK
23,Vijaya Bank,VIJAYABANK
