,Stock_Name,Stock_Symbol
0,ATN Int,ATNINTER
1,BAG Films,BAGFILMS
2,Balaji Telefilm,BALAJITELE
3,Broadcast,BROADCAST
4,Cineline India,CINELINE
5,Cinevista,CINEVISTA
6,Cyber Media,CYBERMEDIA
7,DB Corp,DBCORP
8,Den Networks,DEN
9,Dish TV,DISHTV
10,DQ Entertain,DQE
11,Ent Network Ind,ENIL
12,Eros Intl,EROSMEDIA
13,Hathway Cable,HATHWAY
14,Hindustan Media,HMVL
15,HT Media,HTMEDIA
16,INOX Leisure,INOXLEISUR
17,JagranPrakashan,JAGRAN
18,Jain Studios,JAINSTUDIO
19,KSS,KSERASERA
20,Mukta Arts,MUKTAARTS
21,NDTV,NDTV
22,Next Mediaworks,NEXTMEDIA
23,Ortel Comm,ORTEL
24,Pressman Advt,PRESSMN
25,Prime Focus,PFOCUS
26,Pritish Nandy,PNC
27,PVR,PVR
28,Radaan Media,RADAAN
29,Raj Television,RAJTV
30,SAB Events,SABEVENTS
31,Saregama India,SAREGAMA
32,Shemaroo Ent,SHEMAROO
33,Siti Networks,SITINET
34,Sphere Global,SPHEREGSL
35,Sri Adhikari,SABTN
36,SRS,SRSLTD
37,Sun TV Network,SUNTV
38,Tips Industries,TIPSINDLTD
39,TV TodayNetwork,TVTODAY
40,TV Vision,TVVISION
41,TV18 Broadcast,TV18BRDCST
42,UFO Moviez,UFO
43,Zee Entertain,ZEEL
44,Zee Media,ZEEMEDIA
