,Beta,Alpha
3MINDIA.NS,0.66,0.01
3MINDIA.NS.1,0.66,0.01
8KMILES.NS,2.03,-0.02
AARTIIND.NS,-0.13,-0.0
ABAN.NS,2.14,-0.01
ABB.NS,19.88,0.01
ABFRL.NS,0.0,0.0
ABIRLANUVO.NS,-2.71,0.0
ACC.NS,-0.5,-0.0
ADANIENT.NS,2.54,0.0
ADANIPORTS.NS,5.06,0.0
ADANIPOWER.NS,2.09,0.0
ADANITRANS.NS,-3.83,0.02
AEGISCHEM.NS,3.27,0.01
AHLUCONT.NS,0.84,0.01
AIAENG.NS,0.11,0.01
AJANTPHARM.NS,2.9,-0.0
AKZOINDIA.NS,-0.56,-0.0
ALBK.NS,0.36,0.0
ALKEM.NS,-0.9,0.01
ALLCARGO.NS,1.82,0.0
ALOKTEXT.NS,1.22,-0.01
AMARAJABAT.NS,2.07,-0.01
AMBUJACEM.NS,-0.11,-0.0
AMTEKAUTO.NS,-0.67,-0.0
ANANTRAJ.NS,2.17,-0.0
ANDHRABANK.NS,0.32,0.0
APARINDS.NS,-2.4,0.01
APLAPOLLO.NS,2.29,-0.0
APLLTD.NS,-0.89,0.0
APOLLOHOSP.NS,1.17,-0.0
APOLLOTYRE.NS,7.55,-0.0
ARVIND.NS,1.37,-0.0
ASHOKA.NS,-0.26,-0.0
ASHOKLEY.NS,0.36,-0.0
ASIANPAINT.NS,3.95,-0.01
ASTRAL.NS,0.92,0.0
ASTRAZEN.NS,0.42,0.01
ATUL.NS,0.16,-0.0
AUROPHARMA.NS,0.79,0.0
AVANTIFEED.NS,2.89,0.01
AXISBANK.NS,-1.25,-0.0
BAJAJCORP.NS,-0.83,0.0
BAJAJELEC.NS,1.03,0.0
BAJAJFINSV.NS,0.43,0.0
BAJAJHIND.NS,9.43,0.01
BAJAJHLDNG.NS,-0.05,0.0
BAJFINANCE.NS,3.54,0.0
BALKRISIND.NS,0.21,-0.0
BALLARPUR.NS,0.0,0.0
BALMLAWRIE.NS,-7.4,0.02
