Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
JPASSOCIAT,2016-12-29,2017-01-04,8.36,0.07,7.45,9.8,0.27,0.07,-0.01,0.18
JPASSOCIAT.NS,2016-12-29,2017-01-04,8.36,0.07,7.45,9.8,0.27,0.07,-0.01,0.18
ANANTRAJ,2016-12-29,2017-01-04,41.79,0.02,38.1,45.6,0.18,0.04,0.02,0.08
ANANTRAJ.NS,2016-12-29,2017-01-04,41.79,0.02,38.1,45.6,0.18,0.04,0.02,0.08
MMTC,2016-12-29,2017-01-04,58.07,0.07,52.35,61.75,0.17,0.04,0.0,0.16
MMTC.NS,2016-12-29,2017-01-04,58.07,0.07,52.35,61.75,0.17,0.04,0.0,0.16
DALMIABHA,2016-12-29,2017-01-04,1458.19,0.03,1338.65,1580.85,0.17,0.04,0.01,0.07
DALMIABHA.NS,2016-12-29,2017-01-04,1458.19,0.03,1338.65,1580.85,0.17,0.04,0.01,0.07
RKFORGE,2016-12-29,2017-01-04,304.18,0.04,290.0,337.8,0.15,0.04,-0.02,0.09
RKFORGE.NS,2016-12-29,2017-01-04,304.18,0.04,290.0,337.8,0.15,0.04,-0.02,0.09
SUNTECK,2016-12-29,2017-01-04,226.86,0.01,212.75,246.45,0.15,0.04,0.02,0.05
SUNTECK.NS,2016-12-29,2017-01-04,226.86,0.01,212.75,246.45,0.15,0.04,0.02,0.05
JPINFRATEC.NS,2016-12-29,2017-01-04,7.52,0.03,7.05,8.1,0.14,0.03,-0.01,0.08
BAJAJHIND,2016-12-29,2017-01-04,14.46,0.02,13.2,15.25,0.14,0.04,0.01,0.06
IBREALEST.NS,2016-12-29,2017-01-04,74.65,0.02,69.85,80.3,0.14,0.03,0.0,0.06
IBREALEST,2016-12-29,2017-01-04,74.65,0.02,69.85,80.3,0.14,0.03,0.0,0.06
BAJAJHIND.NS,2016-12-29,2017-01-04,14.46,0.02,13.2,15.25,0.14,0.04,0.01,0.06
JPINFRATEC,2016-12-29,2017-01-04,7.52,0.03,7.05,8.1,0.14,0.03,-0.01,0.08
CHENNPETRO,2016-12-29,2017-01-04,290.42,0.03,274.6,316.9,0.14,0.04,-0.0,0.07
CHENNPETRO.NS,2016-12-29,2017-01-04,290.42,0.03,274.6,316.9,0.14,0.04,-0.0,0.07
GEPIL,2016-12-29,2017-01-04,487.01,0.02,456.45,520.25,0.13,0.03,-0.0,0.06
RAMCOSYS.NS,2016-12-29,2017-01-04,349.34,0.04,335.1,380.25,0.13,0.03,-0.0,0.09
JUBILANT,2016-12-29,2017-01-04,647.34,0.05,628.9,715.65,0.13,0.03,-0.02,0.11
GEPIL.NS,2016-12-29,2017-01-04,487.01,0.02,456.45,520.25,0.13,0.03,-0.0,0.06
UNITECH,2016-12-29,2017-01-04,4.19,0.03,3.9,4.45,0.13,0.03,0.0,0.07
APARINDS.NS,2016-12-29,2017-01-04,592.09,0.04,570.6,647.2,0.13,0.03,0.01,0.1
APARINDS,2016-12-29,2017-01-04,592.09,0.04,570.6,647.2,0.13,0.03,0.01,0.1
HCC.NS,2016-12-29,2017-01-04,40.9,0.02,37.55,42.9,0.13,0.03,0.01,0.06
HCC,2016-12-29,2017-01-04,40.9,0.02,37.55,42.9,0.13,0.03,0.01,0.06
JUBILANT.NS,2016-12-29,2017-01-04,647.34,0.05,628.9,715.65,0.13,0.03,-0.02,0.11
NITINFIRE.NS,2016-12-29,2017-01-04,24.73,0.04,23.75,26.95,0.13,0.03,0.01,0.09
NITINFIRE,2016-12-29,2017-01-04,24.73,0.04,23.75,26.95,0.13,0.03,0.01,0.09
RAMCOSYS,2016-12-29,2017-01-04,349.34,0.04,335.1,380.25,0.13,0.03,-0.0,0.09
KESORAMIND,2016-12-29,2017-01-04,131.36,0.02,123.15,140.8,0.13,0.03,0.01,0.05
KESORAMIND.NS,2016-12-29,2017-01-04,131.36,0.02,123.15,140.8,0.13,0.03,0.01,0.05
DLF.NS,2016-12-29,2017-01-04,117.01,0.03,110.4,125.5,0.13,0.03,0.0,0.06
DLF,2016-12-29,2017-01-04,117.01,0.03,110.4,125.5,0.13,0.03,0.0,0.06
UNITECH.NS,2016-12-29,2017-01-04,4.19,0.03,3.9,4.45,0.13,0.03,0.0,0.07
RENUKA.NS,2016-12-29,2017-01-04,14.23,0.03,13.1,14.75,0.12,0.03,0.0,0.06
BGRENERGY,2016-12-29,2017-01-04,116.52,0.02,111.05,125.3,0.12,0.03,0.02,0.06
RENUKA,2016-12-29,2017-01-04,14.23,0.03,13.1,14.75,0.12,0.03,0.0,0.06
BGRENERGY.NS,2016-12-29,2017-01-04,116.52,0.02,111.05,125.3,0.12,0.03,0.02,0.06
KOLTEPATIL,2016-12-29,2017-01-04,90.72,0.09,83.05,93.35,0.12,0.03,-0.06,0.18
KOLTEPATIL.NS,2016-12-29,2017-01-04,90.72,0.09,83.05,93.35,0.12,0.03,-0.06,0.18
NILKAMAL.NS,2016-12-29,2017-01-04,1358.88,0.05,1261.95,1420.15,0.12,0.03,-0.01,0.11
NILKAMAL,2016-12-29,2017-01-04,1358.88,0.05,1261.95,1420.15,0.12,0.03,-0.01,0.11
CANFINHOME.NS,2016-12-29,2017-01-04,1606.99,0.03,1476.0,1669.45,0.12,0.03,0.0,0.07
HDIL.NS,2016-12-29,2017-01-04,60.42,0.03,55.75,62.8,0.12,0.03,0.0,0.07
CANFINHOME,2016-12-29,2017-01-04,1606.99,0.03,1476.0,1669.45,0.12,0.03,0.0,0.07
HDIL,2016-12-29,2017-01-04,60.42,0.03,55.75,62.8,0.12,0.03,0.0,0.07
ZEELEARN,2016-12-29,2017-01-04,40.24,0.01,38.45,42.95,0.11,0.03,0.02,0.05
SNOWMAN.NS,2016-12-29,2017-01-04,52.46,0.02,49.85,55.65,0.11,0.03,0.01,0.06
SNOWMAN,2016-12-29,2017-01-04,52.46,0.02,49.85,55.65,0.11,0.03,0.01,0.06
ITDCEM,2016-12-29,2017-01-04,157.27,0.05,147.0,163.95,0.11,0.03,-0.03,0.11
ZEELEARN.NS,2016-12-29,2017-01-04,40.24,0.01,38.45,42.95,0.11,0.03,0.02,0.05
TITAN,2016-12-29,2017-01-04,337.9,0.01,320.95,359.65,0.11,0.03,0.02,0.04
TITAN.NS,2016-12-29,2017-01-04,337.9,0.01,320.95,359.65,0.11,0.03,0.02,0.04
DREDGECORP,2016-12-29,2017-01-04,414.46,0.07,386.15,431.0,0.11,0.03,-0.02,0.14
DREDGECORP.NS,2016-12-29,2017-01-04,414.46,0.07,386.15,431.0,0.11,0.03,-0.02,0.14
ITDCEM.NS,2016-12-29,2017-01-04,157.27,0.05,147.0,163.95,0.11,0.03,-0.03,0.11
CHAMBLFERT,2016-12-29,2017-01-04,72.63,0.05,71.25,78.7,0.1,0.02,-0.01,0.11
CHAMBLFERT.NS,2016-12-29,2017-01-04,72.63,0.05,71.25,78.7,0.1,0.02,-0.01,0.11
SHK,2016-12-29,2017-01-04,312.37,0.04,304.35,335.4,0.1,0.02,-0.01,0.09
CAPF,2016-12-29,2017-01-04,578.49,0.02,549.8,608.75,0.1,0.03,-0.0,0.04
SCI,2016-12-29,2017-01-04,60.37,0.02,57.85,64.25,0.1,0.03,0.01,0.05
KAJARIACER,2016-12-29,2017-01-04,473.82,0.03,439.95,485.4,0.1,0.02,-0.01,0.06
SINTEX,2016-12-29,2017-01-04,77.09,0.03,73.25,81.05,0.1,0.03,0.0,0.07
