,0,1,2
3MINDIA.NS,11495.7,11503.8,186.781771059
3MINDIA.NS.1,11495.7,11503.8,186.781771059
8KMILES.NS,692.766666667,686.2,15.2964320459
AARTIIND.NS,698.85,698.95,0.953939201417
ABAN.NS,244.666666667,244.3,1.92635233883
ABB.NS,1085.55,1044.35,77.9904000503
ABFRL.NS,220.35,220.35,0.0
ABIRLANUVO.NS,1273.03333333,1271.25,8.76218199613
ACC.NS,1327.11666667,1327.85,7.17814971517
ADANIENT.NS,79.2,78.75,0.867467578645
ADANIPORTS.NS,288.216666667,286.05,4.96798081048
ADANIPOWER.NS,33.0333333333,32.9,0.416333199893
ADANITRANS.NS,58.55,59.15,1.21655250606
AEGISCHEM.NS,132.666666667,131.85,2.7186087128
AHLUCONT.NS,255.95,256.0,4.17522454486
AIAENG.NS,1282.33333333,1283.55,10.129947351
AJANTPHARM.NS,1793.83333333,1798.80005,12.8417522494
AKZOINDIA.NS,1402.45,1403.55,7.21318237673
ALBK.NS,63.7,63.7,0.4
ALKEM.NS,1674.95,1681.2,13.0958963038
ALLCARGO.NS,172.0,171.45,1.13026545555
ALOKTEXT.NS,3.51666666667,3.5,0.0288675134595
AMARAJABAT.NS,912.233336667,904.29999,15.7747829145
AMBUJACEM.NS,210.9,210.7,1.60934769394
AMTEKAUTO.NS,34.2666666667,34.3,0.202072594216
ANANTRAJ.NS,43.9166666667,44.0,0.236290781313
ANDHRABANK.NS,48.4666666667,48.45,0.175594229214
APARINDS.NS,618.65,619.4,5.21560159521
APLAPOLLO.NS,948.833333333,951.0,5.66950909104
APLLTD.NS,606.566666667,606.6,1.45028732785
APOLLOHOSP.NS,1194.7,1196.5,3.46987031458
APOLLOTYRE.NS,189.866666667,188.9,4.18459476334
ARVIND.NS,360.783333333,360.9,1.27899700286
ASHOKA.NS,154.733333333,154.8,0.30550504633
ASHOKLEY.NS,85.0666666667,84.95,0.202072594216
ASIANPAINT.NS,921.066666667,923.6,9.94501550192
ASTRAL.NS,392.116666667,391.35,1.77857620959
ASTRAZEN.NS,949.933333333,950.45,10.2847378836
ATUL.NS,2076.91666667,2076.9,0.875119039522
AUROPHARMA.NS,695.533333333,694.55,3.72368545037
AVANTIFEED.NS,541.65,539.4,14.0606721034
AXISBANK.NS,451.766666667,452.75,4.01632087032
BAJAJCORP.NS,371.1,370.7,0.781024967591
BAJAJELEC.NS,231.3,231.0,2.36431808351
BAJAJFINSV.NS,2993.78326667,2992.6499,15.8304077649
BAJAJHIND.NS,15.1166666667,14.8,0.592311854797
BAJAJHLDNG.NS,1902.05,1903.85,9.47905586016
BAJFINANCE.NS,885.483336667,878.45001,12.3556975926
BALKRISIND.NS,1091.11666667,1089.7,4.6401329004
BALLARPUR.NS,15.75,15.75,0.0
BALMLAWRIE.NS,235.383333333,236.35,6.15717738362
BALRAMCHIN.NS,136.983333333,136.6,2.59631148619
BANKBARODA.NS,153.0,152.95,0.229128784748
BANKINDIA.NS,111.0,111.2,0.390512483795
BASF.NS,1138.2,1145.3,12.6455525779
BATAINDIA.NS,467.1,466.0,4.69760577316
BBTC.NS,543.45,544.75,3.29810551681
BEL.NS,1459.18333333,1454.2,50.2108139083
BEML.NS,1105.01666667,1150.75,97.0495406137
BERGEPAINT.NS,221.583333333,219.75,3.43850742813
BFUTILITIE.NS,394.283333333,394.25,0.800520663902
BGRENERGY.NS,126.783333333,126.05,4.44559707276
BHARATFIN.NS,624.433333333,621.65,6.48928604188
BHARATFORG.NS,916.75,912.09998,12.3499961943
BHARTIARTL.NS,319.266666667,319.75,1.15361749871
BHEL.NS,127.416666667,127.6,0.93852721502
BHUSANSTL.NS,42.45,42.55,0.458257569496
BIOCON.NS,990.066666667,997.1,27.6785265745
BIRLACORPN.NS,699.183333333,700.35,2.15193711184
BLISSGVS.NS,157.1,157.25,1.92937813816
BLUEDART.NS,4443.68333333,4442.3,23.5055489903
BLUESTARCO.NS,494.116666667,493.65,2.38449854966
BOMDYEING.NS,54.1166666667,54.35,0.680685928555
BOSCHLTD.NS,21053.9666667,21111.3,130.79118217
BPCL.NS,659.416666667,660.3,5.92459562614
BRFL.NS,145.916666667,145.45,0.941187193566
BRIGADE.NS,154.4,155.1,1.47986485869
BRITANNIA.NS,2891.21663333,2894.95,9.14085143755
CADILAHC.NS,365.600006667,361.60001,12.3459547423
CAIRN.NS,257.0,256.6,1.53948043183
CANBK.NS,269.683333333,270.0,0.86938675705
CANFINHOME.NS,1711.01666667,1712.5,13.6854241196
CAPF.NS,601.55,602.1,2.17772817404
CAPLIPOINT.NS,356.05,345.6,27.2232896616
CARBORUNIV.NS,255.0,254.55,1.71973835219
CARERATING.NS,1322.05,1305.85,31.0056849626
CASTROLIND.NS,389.483333333,389.2,0.62516664445
CCL.NS,267.433333333,267.5,0.652559065015
CEATLTD.NS,1198.43333333,1197.45,19.243851832
CENTRALBK.NS,83.3333333333,83.35,0.125830573921
CENTURYPLY.NS,177.616666667,177.95,0.992891400574
CENTURYTEX.NS,831.55,833.5,7.66338697966
CERA.NS,2091.36666667,2092.7,10.9112709312
CESC.NS,647.933333333,647.75,7.82661059037
CHAMBLFERT.NS,85.2833333333,85.95,1.46827563262
CHENNPETRO.NS,328.083333333,327.6,6.73801404965
CHOLAFIN.NS,949.7,948.9,7.28302821634
CIPLA.NS,578.150003333,576.70001,4.16861205924
COALINDIA.NS,302.266666667,300.6,3.41955162753
COFFEEDAY.NS,197.416666667,196.75,1.28679187646
COLPAL.NS,894.866666667,893.55,3.80010964754
CONCOR.NS,1180.31666667,1181.05,12.2165188713
COROMANDEL.NS,327.383333333,329.6,12.9184299872
CORPBANK.NS,41.85,41.9,0.180277563773
CRISIL.NS,2227.03333333,2229.95,9.13131060327
CROMPGREAV.NS,61.6,61.75,0.259807621135
CUB.NS,138.83334,138.8,0.500832972856
CUMMINSIND.NS,813.966666667,808.5,12.3901506582
CYIENT.NS,486.516666667,486.95,0.838649708361
DABUR.NS,275.950003333,276.60001,2.10177686735
DALMIABHA.NS,1545.36666667,1543.8,8.06494471979
DBCORP.NS,370.166666667,369.5,2.76103845198
DBREALTY.NS,38.2666666667,38.4,0.230940107676
DCBBANK.NS,113.45,113.3,0.444409720866
DCMSHRIRAM.NS,248.633333333,241.3,14.3337306146
DEEPAKFERT.NS,225.666666667,225.8,0.464578662159
DELTACORP.NS,125.983333333,125.75,3.40599960853
DEN.NS,71.8333333333,72.05,0.510718448201
DENABANK.NS,34.2666666667,34.3,0.104083299973
DHANUKA.NS,782.766666667,786.1,6.34474848464
DHFL.NS,253.1,255.15,3.76928375159
DISHMAN.NS,244.133333333,252.0,14.1482625553
DISHTV.NS,86.45,86.45,0.45
DIVISLAB.NS,736.966666667,737.4,2.62694372481
DLF.NS,126.083333333,126.5,0.765397500214
DREDGECORP.NS,445.0,448.65,10.7024529899
DRREDDY.NS,3087.06666667,3060.2,63.0965458907
DYNAMATECH.NS,2930.78333333,2922.0,20.3037147668
ECLERX.NS,1419.0,1419.05,3.7752483362
EDELWEISS.NS,97.5166666667,97.6,0.529937103186
EICHERMOT.NS,22907.5666667,22999.9,164.362536283
EIDPARRY.NS,283.35,283.2,2.52833937595
EIHOTEL.NS,97.4833333333,97.1,1.12509258878
EMAMILTD.NS,1036.76666667,1038.95,4.81205084484
ENGINERSIN.NS,154.166666667,152.95,2.46187597846
EQUITAS.NS,148.916666667,148.9,0.975106831754
EROSMEDIA.NS,173.366666667,172.7,3.89304936179
ESCORTS.NS,329.783333333,328.25,6.6832502073
ESSELPACK.NS,247.2,246.5,1.47986485869
EVEREADY.NS,222.633333333,222.05,1.18778505351
EXIDEIND.NS,185.05,185.6,1.78955301682
FAGBEARING.NS,3874.0,3883.95,21.525043554
FDC.NS,220.133333333,219.65,3.05382274098
FEDERALBNK.NS,68.4833333333,68.35,1.35492927245
FINCABLES.NS,418.0,416.8,3.36452076825
FINPIPE.NS,444.7,445.15,2.30813777752
FLFL.NS,139.283333333,139.6,1.94443650792
FORTIS.NS,196.766666667,198.75,5.16873614468
FSL.NS,34.75,34.75,0.0
GAIL.NS,439.65,440.7,3.54365630388
GATI.NS,117.783333333,117.9,0.880814017448
GAYAPROJ.NS,647.05,647.1,3.42527371169
GDL.NS,247.1,246.55,1.36106575888
GEPIL.NS,537.15,539.0,15.6571868482
GESHIP.NS,385.05,385.1,0.229128784748
GILLETTE.NS,4222.35,4221.55,2.11660104885
GLAXO.NS,2726.46666667,2726.15,2.53984907688
GLENMARK.NS,895.766666667,894.75,3.7303931875
GMDCLTD.NS,99.7333333333,98.95,1.53324275095
GMRINFRA.NS,12.55,12.5,0.0866025403784
GODFRYPHLP.NS,1045.6,1036.2,18.1750515818
GODREJCP.NS,1541.78333333,1540.2,20.3213147541
GODREJIND.NS,441.36666,442.25,1.7960629629
GODREJPROP.NS,320.2,321.7,3.54647712526
GPPL.NS,134.7,134.55,0.49244289009
GRANULES.NS,106.066666667,104.75,5.64143894174
GRASIM.NS,854.033333333,855.25,5.28117726774
GREAVESCOT.NS,122.466666667,122.5,0.450924975282
GREENPLY.NS,250.533333333,251.05,1.97631812554
GRINDWELL.NS,324.533333333,325.3,4.25215631572
GRUH.NS,328.466666667,327.3,4.31981866903
GSFC.NS,108.066666667,108.0,4.30038757943
GSKCONS.NS,5147.08333333,5149.1,9.48714041918
GSPL.NS,137.166666667,137.4,0.448144321992
GUJFLUORO.NS,476.966666667,477.25,0.908753725348
GUJGASLTD.NS,541.0,546.2,12.2572427568
GULFOILLUB.NS,657.033333333,658.95,9.76707905842
GVKPIL.NS,5.75,5.75,0.0
HATHWAY.NS,35.95,36.1,0.49244289009
HAVELLS.NS,364.35,364.7,3.38858377497
HCC.NS,42.1666666667,41.65,0.93852721502
HCLTECH.NS,830.183333333,837.85,13.6706193471
HDFC.NS,1221.05,1222.35,3.34514573674
HDFCBANK.NS,1201.06666667,1195.2,11.5297802812
HDIL.NS,63.2833333333,63.4,0.202072594216
HEIDELBERG.NS,111.383333333,111.25,1.8536001007
HEROMOTOCO.NS,3052.66666667,3059.0,18.8649366109
HEXAWARE.NS,202.2,202.0,1.2124355653
HFCL.NS,13.3,13.25,0.132287565553
HIMATSEIDE.NS,297.716666667,297.45,0.596517672272
HINDALCO.NS,161.05,160.75,3.21052955134
HINDCOPPER.NS,64.8833333333,64.55,2.81484161781
HINDPETRO.NS,469.65,466.7,8.51718850326
HINDUNILVR.NS,831.783333333,831.05,1.72143351116
HINDZINC.NS,269.1,269.95,4.23939854225
HMVL.NS,275.45,276.0,1.83779759495
HONAUT.NS,9182.31666667,9241.3,145.253143971
HSIL.NS,285.483333333,286.55,2.61836462956
HTMEDIA.NS,75.2833333333,75.25,0.301385688667
IBREALEST.NS,80.2166666667,80.2,0.52519837522
IBULHSGFIN.NS,673.4,674.0,15.658623822
ICICIBANK.NS,259.016666667,258.7,1.06105293616
ICIL.NS,162.933333333,163.85,1.71925371407
ICRA.NS,3986.18333333,3986.45,6.65400881675
IDBI.NS,72.9,73.45,1.59765453087
IDEA.NS,73.8333333333,74.1,0.832666399786
IDFC.NS,55.8666666667,55.75,0.930501656814
IDFCBANK.NS,61.4666666667,61.85,0.707695791519
IFCI.NS,27.95,27.9,0.229128784748
IGARASHI.NS,722.316666667,722.9,5.05033002222
IGL.NS,925.75,922.9,5.64335892886
IIFL.NS,256.583333333,256.65,0.602771377334
INDHOTEL.NS,96.8,97.3,0.909670269933
INDIACEM.NS,127.033333333,126.5,1.95533458347
INDIANB.NS,234.833333333,234.95,0.633113997107
INDIGO.NS,851.166666667,852.7,9.69140512688
INDOCO.NS,271.116666667,272.05,2.3907809045
INDUSINDBK.NS,1154.66666667,1159.25,9.22284301793
INFIBEAM.NS,1189.6,1189.3,7.45452882482
INFRATEL.NS,352.333333333,353.55,2.73602509735
INFY.NS,971.04999,970.54999,1.04403975025
INGERRAND.NS,673.733333333,675.0,3.76342043005
INOXLEISUR.NS,228.75,228.35,0.826135582093
INOXWIND.NS,182.816666667,182.75,0.453688586294
INTELLECT.NS,145.55,145.9,0.694622199472
IOB.NS,24.6333333333,24.6,0.104083299973
IOC.NS,345.283333333,346.35,2.15773801314
IPAPPM.NS,309.216666667,308.95,1.66608323121
