Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
STCINDIA,2016-12-22,2016-12-28,166.6,0.04,119.6,208.3,0.55,0.14,0.1,0.18
STCINDIA.NS,2016-12-22,2016-12-28,166.6,0.04,119.6,208.3,0.55,0.14,0.1,0.18
GODFRYPHLP,2016-12-22,2016-12-28,910.87,0.08,843.4,1025.8,0.2,0.05,-0.02,0.18
GODFRYPHLP.NS,2016-12-22,2016-12-28,910.87,0.08,843.4,1025.8,0.2,0.05,-0.02,0.18
NAUKRI,2016-12-22,2016-12-28,871.46,0.02,818.3,918.7,0.12,0.03,0.01,0.07
NAUKRI.NS,2016-12-22,2016-12-28,871.46,0.02,818.3,918.7,0.12,0.03,0.01,0.07
KALPATPOWR.NS,2016-12-22,2016-12-28,236.91,0.04,224.55,244.75,0.09,0.02,-0.02,0.07
KALPATPOWR,2016-12-22,2016-12-28,236.91,0.04,224.55,244.75,0.09,0.02,-0.02,0.07
BAJAJFINSV.NS,2016-12-22,2016-12-28,2666.53,0.02,2550.1,2800.75,0.09,0.02,-0.0,0.05
BAJAJFINSV,2016-12-22,2016-12-28,2666.53,0.02,2550.1,2800.75,0.09,0.02,-0.0,0.05
MANAPPURAM.NS,2016-12-22,2016-12-28,61.77,0.04,60.5,65.85,0.08,0.02,-0.04,0.06
MMTC,2016-12-22,2016-12-28,51.5,0.02,48.55,52.75,0.08,0.02,-0.0,0.06
MMTC.NS,2016-12-22,2016-12-28,51.5,0.02,48.55,52.75,0.08,0.02,-0.0,0.06
MANAPPURAM,2016-12-22,2016-12-28,61.77,0.04,60.5,65.85,0.08,0.02,-0.04,0.06
MTNL.NS,2016-12-22,2016-12-28,18.89,0.04,18.4,19.95,0.08,0.02,-0.02,0.09
MTNL,2016-12-22,2016-12-28,18.89,0.04,18.4,19.95,0.08,0.02,-0.02,0.09
BAJFINANCE,2016-12-22,2016-12-28,802.86,0.02,765.4,820.2,0.07,0.02,-0.0,0.06
MRPL.NS,2016-12-22,2016-12-28,90.03,0.04,89.9,95.95,0.07,0.02,-0.01,0.09
BAJFINANCE.NS,2016-12-22,2016-12-28,802.86,0.02,765.4,820.2,0.07,0.02,-0.0,0.06
MRPL,2016-12-22,2016-12-28,90.03,0.04,89.9,95.95,0.07,0.02,-0.01,0.09
INDIANB.NS,2016-12-22,2016-12-28,207.27,0.03,200.9,213.85,0.06,0.02,-0.03,0.04
ALOKTEXT,2016-12-22,2016-12-28,3.28,0.04,3.25,3.45,0.06,0.01,-0.05,0.06
ORIENTCEM.NS,2016-12-22,2016-12-28,122.9,0.03,118.0,125.85,0.06,0.02,-0.02,0.05
