,Stock_Name,Stock_Symbol
0,Anant Raj,ANANTRAJ
1,Brigade Ent,BRIGADE
2,DB Realty,DBREALTY
3,DLF,DLF
4,Emami Infra,EMAMIINFRA
5,Godrej Prop,GODREJPROP
6,HDIL,HDIL
7,Hubtown,HUBTOWN
8,Indiabulls Real,IBREALEST
9,Kolte-Patil,KOLTEPATIL
10,Landmark Prop,LPDC
11,Marathon Realty,MARATHON
12,MVL,MVL
13,Nitesh Estates,NITESHEST
14,Oberoi Realty,OBEROIRLTY
15,Omaxe,OMAXE
16,Orbit Corp,ORBITCORP
17,Parsvnath,PARSVNATH
18,Phoenix Mills,PHOENIXLTD
19,PNC Infratech,PNCINFRA
20,Prestige Estate,PRESTIGE
21,Puravankara,PURVA
22,PVP Ventures,PVP
23,Sobha,SOBHA
24,Sunteck Realty,SUNTECK
25,TCI Developers,TCIDEVELOP
26,Vascon Engineer,
27,Vipul,VIPULLTD
28,Zandu Realty,ZANDUREALT
