,Stock_Name,Stock_Symbol
0,Amara Raja Batt,AMARAJABAT
1,Amtek Auto,AMTEKAUTO
2,ANG Industries,ANGIND
3,Auto Stampings,ASAL
4,Autoline Ind,AUTOIND
5,Autolite India,AUTOLITIND
6,Automotive Axle,AUTOAXLES
7,Banco Products,BANCOINDIA
8,Bharat Gears,BHARATGEAR
9,Bosch,BOSCHLTD
10,Castex Tech,CASTEXTECH
11,Exide Ind,EXIDEIND
12,Federal-Mogul,FMGOETZE
13,FIEM Ind,FIEMIND
14,Gabriel India,GABRIEL
15,GNA Axles,GNA
16,Harita Seating,HARITASEAT
17,Hind Composites,HINDCOMPOS
18,India Nippon,INDNIPPON
19,Jamna Auto,JAMNAAUTO
20,Jay BharatMarut,JAYBARMARU
21,JBM Auto,JBMA
22,JMT Auto,JMTAUTOLTD
23,Lumax Auto Sys,LUMAXAUTO
24,Lumax Auto Tech,LUMAXTECH
25,Lumax Inds,LUMAXIND
26,Minda Corp,MINDACORP
27,Minda Ind,MINDAIND
28,Motherson Sumi,MOTHERSUMI
29,Munjal Auto Ind,MUNJALAU
30,Munjal Showa,MUNJALSHOW
31,Omax Autos,OMAXAUTO
32,PAE,PAEL
33,Phoenix Lamps,PHOENIXLL
34,PPAP Automotive,PPAP
35,Precision Camsh,PRECAM
36,Pricol,PRICOL
37,Rane Brake,RBL
38,Rane Engine,RANEENGINE
39,Rane Holdings,RANEHOLDIN
40,Rane Madras,RML
41,Remsons Ind,REMSONSIND
42,Rico Auto,RICOAUTO
43,Setco Auto,SETCO
44,Sharda Motor,SHARDAMOTR
45,Shivam Auto,SHIVAMAUTO
46,Sona Koyo Stee,SONASTEER
47,Steel Str Wheel,SSWL
48,Subros,SUBROS
49,Sundaram Brake,SUNDRMBRAK
50,Sundaram-Clayto,SUNCLAYLTD
51,Suprajit Eng,SUPRAJIT
52,Talbros Auto,TALBROAUTO
53,The Hi-Tech Gea,HITECHGEAR
54,UCAL Fuel,UCALFUEL
55,WABCO India,WABCOINDIA
56,Wheels,WHEELS
