,Stock_Name,Stock_Symbol
0,Adani Power,ADANIPOWER
1,Advance Meter,AMTL
2,BF Utilities,BFUTILITIE
3,Bil Energy,BILENERGY
4,CESC,CESC
5,DPSC,DPSCLTD
6,Energy Dev,ENERGYDEV
7,Guj Ind Power,GIPCL
8,GVK Power,GVKPIL
9,Indowind Energy,INDOWIND
10,Inox Wind,INOXWIND
11,Jaiprakash Pow,JPPOWER
12,JSW Energy,JSWENERGY
13,KSK Energy Vent,KSK
14,NHPC,NHPC
15,NLC India,NLCINDIA
16,NTPC,NTPC
17,Orient Green,GREENPOWER
18,Power Grid Corp,POWERGRID
19,Rattan Infra,RTNINFRA
20,Rattan Power,RTNPOWER
21,Reliance Infra,RELINFRA
22,Reliance Power,RPOWER
23,S E Power,SEPOWER
24,Schneider Infra,SCHNEIDER
25,SJVN,SJVN
26,Suzlon Energy,SUZLON
27,Tata Power,TATAPOWER
28,Torrent Power,TORNTPOWER
