,Old_Rank,New_Rank,Difference,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
CADILAHC,393,29,364,2016-12-27,2017-01-02,352.48,0.01,350.75,354.5,0.01,0.0,-0.01,0.02,2017-01-02,2017-01-06,363.58,0.01,354.5,379.45,0.07,0.02,0.0,0.03
ONGC,415,57,358,2016-12-27,2017-01-02,191.08,0.0,190.3,192.25,0.01,0.0,-0.0,0.01,2017-01-02,2017-01-06,196.35,0.01,192.25,202.55,0.05,0.01,0.0,0.02
SYMPHONY,482,146,336,2016-12-27,2017-01-02,1172.5,0.02,1176.55,1152.65,-0.02,-0.01,-0.02,0.02,2017-01-02,2017-01-06,1168.94,0.01,1152.65,1192.55,0.03,0.01,-0.0,0.02
MRF,397,65,332,2016-12-27,2017-01-02,48812.52,0.0,48692.9,49084.4,0.01,0.0,-0.0,0.01,2017-01-02,2017-01-06,50630.34,0.01,49084.4,51579.2,0.05,0.01,-0.0,0.03
CANBK,478,148,330,2016-12-27,2017-01-02,263.47,0.01,267.55,262.45,-0.02,-0.0,-0.01,0.01,2017-01-02,2017-01-06,265.57,0.01,262.45,270.35,0.03,0.01,-0.0,0.01
WELCORP,430,102,328,2016-12-27,2017-01-02,75.22,0.02,75.8,75.95,0.0,0.0,-0.02,0.02,2017-01-02,2017-01-06,77.46,0.01,75.95,79.2,0.04,0.01,0.0,0.03
VIJAYABANK,439,124,315,2016-12-27,2017-01-02,47.33,0.01,47.0,47.0,0.0,0.0,-0.01,0.01,2017-01-02,2017-01-06,47.91,0.03,47.0,49.05,0.04,0.01,-0.02,0.05
SUNDRMFAST,358,46,312,2016-12-27,2017-01-02,287.54,0.01,282.1,287.65,0.02,0.0,-0.01,0.02,2017-01-02,2017-01-06,297.24,0.03,287.65,304.1,0.06,0.01,-0.02,0.07
CIPLA,443,143,300,2016-12-27,2017-01-02,565.14,0.0,563.65,566.0,0.0,0.0,-0.0,0.01,2017-01-02,2017-01-06,574.12,0.01,566.0,582.85,0.03,0.01,-0.01,0.02
IPAPPM,403,108,295,2016-12-27,2017-01-02,293.26,0.01,294.2,296.05,0.01,0.0,-0.01,0.01,2017-01-02,2017-01-06,303.65,0.01,296.05,307.7,0.04,0.01,0.0,0.03
WELSPUNIND,378,88,290,2016-12-27,2017-01-02,66.46,0.0,65.95,66.7,0.01,0.0,-0.0,0.01,2017-01-02,2017-01-06,69.73,0.02,66.7,70.15,0.05,0.01,-0.01,0.04
BANKBARODA,467,180,287,2016-12-27,2017-01-02,150.77,0.02,149.9,148.9,-0.01,-0.0,-0.03,0.01,2017-01-02,2017-01-06,149.94,0.01,148.9,153.25,0.03,0.01,-0.0,0.02
SOBHA,324,39,285,2016-12-27,2017-01-02,247.52,0.01,245.95,252.15,0.02,0.01,-0.01,0.03,2017-01-02,2017-01-06,259.78,0.0,252.15,266.5,0.06,0.01,0.01,0.02
FORTIS,348,69,279,2016-12-27,2017-01-02,180.56,0.02,178.85,182.4,0.02,0.0,-0.01,0.03,2017-01-02,2017-01-06,187.09,0.02,182.4,190.9,0.05,0.01,-0.02,0.03
SUZLON,367,89,278,2016-12-27,2017-01-02,13.79,0.01,13.8,14.05,0.02,0.0,-0.01,0.02,2017-01-02,2017-01-06,14.61,0.03,14.05,14.65,0.04,0.01,-0.03,0.05
JSWHL,394,121,273,2016-12-27,2017-01-02,1347.12,0.02,1350.75,1358.7,0.01,0.0,-0.02,0.02,2017-01-02,2017-01-06,1390.93,0.01,1358.7,1413.3,0.04,0.01,-0.01,0.02
BEL,457,185,272,2016-12-27,2017-01-02,1367.87,0.01,1372.15,1365.5,-0.0,-0.0,-0.01,0.01,2017-01-02,2017-01-06,1412.85,0.02,1365.5,1411.65,0.03,0.01,-0.01,0.04
GEPIL,283,12,271,2016-12-27,2017-01-02,465.72,0.02,461.7,476.4,0.03,0.01,-0.01,0.05,2017-01-02,2017-01-06,507.88,0.02,476.4,520.65,0.09,0.02,-0.0,0.06
TAKE,379,114,265,2016-12-27,2017-01-02,134.2,0.01,134.3,135.65,0.01,0.0,-0.01,0.01,2017-01-02,2017-01-06,139.94,0.02,135.65,141.2,0.04,0.01,-0.01,0.04
INDUSINDBK,340,78,262,2016-12-27,2017-01-02,1089.29,0.02,1063.35,1087.45,0.02,0.01,-0.02,0.02,2017-01-02,2017-01-06,1111.96,0.01,1087.45,1144.05,0.05,0.01,-0.0,0.02
TORNTPHARM,334,72,262,2016-12-27,2017-01-02,1299.43,0.01,1291.0,1310.75,0.02,0.0,-0.01,0.03,2017-01-02,2017-01-06,1346.67,0.01,1310.75,1375.9,0.05,0.01,0.01,0.02
REDINGTON,477,216,261,2016-12-27,2017-01-02,95.27,0.01,96.05,94.5,-0.02,-0.0,-0.01,0.01,2017-01-02,2017-01-06,96.12,0.01,94.5,95.95,0.02,0.0,-0.02,0.02
PNB,451,195,256,2016-12-27,2017-01-02,114.83,0.01,116.0,115.6,-0.0,-0.0,-0.02,0.02,2017-01-02,2017-01-06,117.12,0.02,115.6,119.05,0.03,0.01,-0.02,0.02
HMVL,414,159,255,2016-12-27,2017-01-02,264.39,0.01,263.75,266.5,0.01,0.0,-0.01,0.01,2017-01-02,2017-01-06,270.19,0.01,266.5,273.4,0.03,0.01,-0.0,0.01
DBCORP,441,189,252,2016-12-27,2017-01-02,360.19,0.0,360.65,360.75,0.0,0.0,-0.01,0.01,2017-01-02,2017-01-06,369.58,0.01,360.75,373.2,0.03,0.01,-0.01,0.03
ABAN,282,34,248,2016-12-27,2017-01-02,228.51,0.0,224.35,230.7,0.03,0.01,0.0,0.01,2017-01-02,2017-01-06,242.84,0.02,230.7,246.75,0.07,0.02,-0.01,0.04
GMDCLTD,300,52,248,2016-12-27,2017-01-02,91.16,0.01,90.0,93.05,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,96.52,0.03,93.05,98.95,0.06,0.02,-0.02,0.06
INDIGO,471,228,243,2016-12-27,2017-01-02,823.88,0.01,830.25,822.35,-0.01,-0.0,-0.02,0.01,2017-01-02,2017-01-06,833.65,0.01,822.35,840.8,0.02,0.01,-0.0,0.03
IOC,289,47,242,2016-12-27,2017-01-02,321.79,0.01,317.3,327.45,0.03,0.01,-0.0,0.02,2017-01-02,2017-01-06,342.91,0.03,327.45,346.35,0.06,0.01,-0.02,0.05
SOUTHBANK,318,77,241,2016-12-27,2017-01-02,19.39,0.01,19.25,19.65,0.02,0.01,-0.01,0.02,2017-01-02,2017-01-06,20.11,0.01,19.65,20.6,0.05,0.01,0.01,0.02
POWERGRID,418,177,241,2016-12-27,2017-01-02,181.65,0.01,181.05,183.65,0.01,0.0,-0.01,0.02,2017-01-02,2017-01-06,187.62,0.02,183.65,188.8,0.03,0.01,-0.01,0.02
UNIONBANK,384,144,240,2016-12-27,2017-01-02,123.75,0.01,124.0,125.55,0.01,0.0,-0.02,0.02,2017-01-02,2017-01-06,126.88,0.01,125.55,129.15,0.03,0.01,-0.01,0.02
LT,449,213,236,2016-12-27,2017-01-02,1350.69,0.01,1355.6,1359.6,0.0,0.0,-0.01,0.01,2017-01-02,2017-01-06,1377.33,0.0,1359.6,1390.95,0.02,0.01,-0.0,0.01
IOB,428,197,231,2016-12-27,2017-01-02,24.12,0.0,24.1,24.15,0.0,0.0,-0.0,0.01,2017-01-02,2017-01-06,24.39,0.01,24.15,24.55,0.02,0.0,-0.0,0.01
ALOKTEXT,383,152,231,2016-12-27,2017-01-02,3.44,0.01,3.4,3.45,0.01,0.0,0.0,0.01,2017-01-02,2017-01-06,3.54,0.03,3.45,3.55,0.03,0.01,-0.03,0.04
KANSAINER,330,105,225,2016-12-27,2017-01-02,318.73,0.01,317.2,324.5,0.02,0.01,-0.0,0.02,2017-01-02,2017-01-06,333.83,0.02,324.5,337.75,0.04,0.01,-0.02,0.03
APOLLOTYRE,463,238,225,2016-12-27,2017-01-02,185.42,0.01,187.85,185.85,-0.01,-0.0,-0.03,0.01,2017-01-02,2017-01-06,187.0,0.01,185.85,188.9,0.02,0.0,-0.01,0.01
BOMDYEING,242,17,225,2016-12-27,2017-01-02,47.46,0.01,47.2,48.75,0.03,0.01,-0.01,0.03,2017-01-02,2017-01-06,51.2,0.03,48.75,53.35,0.09,0.02,-0.01,0.06
ORIENTCEM,479,257,222,2016-12-27,2017-01-02,125.67,0.02,128.7,126.25,-0.02,-0.0,-0.02,0.03,2017-01-02,2017-01-06,127.12,0.01,126.25,127.0,0.01,0.0,-0.01,0.02
NITINFIRE,222,2,220,2016-12-27,2017-01-02,23.78,0.01,23.4,24.45,0.04,0.01,0.0,0.02,2017-01-02,2017-01-06,26.27,0.03,24.45,28.0,0.14,0.03,0.01,0.09
ICICIBANK,466,248,218,2016-12-27,2017-01-02,252.73,0.01,253.55,251.95,-0.01,-0.0,-0.01,0.02,2017-01-02,2017-01-06,254.57,0.01,251.95,258.15,0.02,0.01,-0.01,0.02
TNPL,354,138,216,2016-12-27,2017-01-02,330.51,0.01,325.8,332.2,0.02,0.0,-0.0,0.01,2017-01-02,2017-01-06,341.26,0.01,332.2,342.7,0.03,0.01,-0.01,0.03
CRISIL,475,264,211,2016-12-27,2017-01-02,2205.9,0.0,2219.75,2205.4,-0.01,-0.0,-0.01,0.0,2017-01-02,2017-01-06,2237.49,0.02,2205.4,2234.35,0.01,0.0,-0.02,0.03
SBIN,484,274,210,2016-12-27,2017-01-02,247.59,0.01,248.75,243.6,-0.02,-0.01,-0.03,0.01,2017-01-02,2017-01-06,244.53,0.01,243.6,245.9,0.01,0.0,-0.01,0.01
