Symbol,Start_Price,Mean_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change,Volatility
BEML.NS,971.55,1147.54,1330.7,0.31,0.01,-0.02,0.15,0.03
AEGISCHEM.NS,134.35,139.38,182.8,0.31,0.01,-0.03,0.18,0.04
BAJAJFINSV.NS,2620.4,3109.91,3577.0,0.31,0.01,-0.03,0.08,0.02
HIMATSEIDE.NS,276.1,324.56,376.9,0.31,0.01,-0.03,0.12,0.03
OCL.NS,697.25,822.86,946.75,0.31,0.01,-0.06,0.06,0.03
KRBL.NS,277.7,336.64,379.15,0.31,0.01,-0.02,0.04,0.02
JINDALSTEL.NS,68.1,78.32,91.85,0.3,0.01,-0.04,0.09,0.03
MTNL.NS,18.35,20.75,24.7,0.3,0.01,-0.05,0.18,0.04
BGRENERGY.NS,110.25,129.12,149.55,0.3,0.01,-0.04,0.09,0.03
HAVELLS.NS,325.55,383.7,439.75,0.3,0.01,-0.04,0.04,0.02
CERA.NS,1916.45,2122.54,2576.05,0.3,0.01,-0.04,0.04,0.02
ESCORTS.NS,290.2,347.28,393.15,0.3,0.01,-0.04,0.08,0.03
RUCHISOYA.NS,18.95,22.08,25.3,0.29,0.01,-0.05,0.18,0.04
SAIL.NS,49.35,57.77,65.9,0.29,0.01,-0.03,0.06,0.02
NILKAMAL.NS,1262.4,1497.08,1688.1,0.29,0.01,-0.02,0.11,0.03
CESC.NS,620.55,695.89,827.65,0.29,0.01,-0.02,0.05,0.02
BHEL.NS,119.0,131.56,157.2,0.28,0.01,-0.03,0.06,0.02
DELTACORP.NS,98.0,123.39,129.6,0.28,0.01,-0.03,0.11,0.03
SINTEX.NS,72.75,84.05,95.85,0.28,0.01,-0.08,0.07,0.03
CENTURYPLY.NS,163.7,184.92,215.9,0.28,0.01,-0.02,0.06,0.02
VIJAYABANK.NS,47.7,52.66,62.8,0.28,0.01,-0.03,0.18,0.04
MANPASAND.NS,529.3,589.76,699.95,0.28,0.01,-0.02,0.05,0.02
VGUARD.NS,163.8,179.68,215.75,0.28,0.01,-0.03,0.06,0.02
DCBBANK.NS,105.75,117.87,137.85,0.27,0.01,-0.03,0.04,0.02
TRENT.NS,196.15,220.37,256.95,0.27,0.01,-0.04,0.16,0.03
DLF.NS,113.75,128.87,148.4,0.27,0.01,-0.08,0.06,0.03
ADANIENT.NS,71.35,81.72,93.65,0.27,0.01,-0.06,0.15,0.03
EQUITAS.NS,143.0,158.55,186.05,0.26,0.01,-0.03,0.04,0.02
FEDERALBNK.NS,65.0,73.97,83.9,0.26,0.01,-0.04,0.06,0.02
NITINFIRE.NS,24.2,28.26,31.35,0.26,0.01,-0.03,0.09,0.02
