,Symbols,2_Week_Change
0,KARURVYSYA,-80.6180824466663
1,DELTACORP,-42.58360302049622
2,SUNTECK,-27.32081911262799
3,INTELLECT,-24.94692144373673
4,HDIL,-24.924924924924923
5,DHFL,-23.37701920146297
6,ANANTRAJ,-22.888283378746586
7,DLF,-22.62458471760797
8,JPASSOCIAT,-21.524663677130047
9,KOLTEPATIL,-21.434200157604415
10,REPCOHOME,-21.265319642265652
11,CHOLAFIN,-21.064619537708793
12,PCJEWELLER,-19.642508302402806
13,BOMDYEING,-19.533275713051
14,KITEX,-19.272654610850232
15,KAJARIACER,-18.59846959323399
16,KESORAMIND,-18.531267928858295
17,SRTRANSFIN,-18.313576588257085
18,IBREALEST,-18.109339407744866
19,JPINFRATEC,-17.93478260869565
20,SHRIRAMCIT,-17.679093420894564
21,OBEROIRLTY,-17.169998582163608
22,DBREALTY,-17.16961498439126
23,JMFINANCIL,-17.018779342723004
24,CENTURYPLY,-16.99797160243408
25,TAKE,-16.79953705698754
26,IIFL,-16.79640718562875
27,WHIRLPOOL,-16.659999110992565
28,IBULHSGFIN,-16.63293731101641
29,BERGEPAINT,-16.41414205183147
30,GODFRYPHLP,-16.33310486634681
31,INDIACEM,-16.045845272206314
32,HEIDELBERG,-16.028708133971303
33,AVANTIFEED,-15.666104553119727
34,ORIENTCEM,-15.538417594972874
35,CERA,-15.47476772427619
36,ABAN,-15.355875210162514
37,NCC,-15.29411764705882
38,CAPF,-15.28685032661177
39,TATAGLOBAL,-15.219721329046076
40,SOMANYCERA,-14.868959248598694
41,MAGMA,-14.79416809605489
42,JKLAKSHMI,-14.78743068391867
43,INDHOTEL,-14.681680381117369
44,EDELWEISS,-14.631147540983603
45,PRESTIGE,-14.414646725116048
46,BAJAJELEC,-14.335260115606934
47,PEL,-14.225340207928324
48,MOTILALOFS,-14.004509191814082
49,CANFINHOME,-13.893217419831059
50,GMRINFRA,-13.868613138686122
51,JAICORPLTD,-13.862068965517238
52,VOLTAS,-13.835014222911818
53,PAGEIND,-13.82683290519424
54,DCMSHRIRAM,-13.543140028288542
55,VIPIND,-13.456917267421908
56,UNITECH,-13.33333333333333
57,COROMANDEL,-13.196993532599196
58,PRISMCEM,-13.113207547169816
59,UFLEX,-13.026941362916013
60,HTMEDIA,-12.951639799888833
61,HAVELLS,-12.859248341930734
62,NILKAMAL,-12.792159604545757
63,BFUTILITIE,-12.750158471429863
64,IRB,-12.736954206602771
65,MARUTI,-12.625613709656829
66,AMTEKAUTO,-12.54355400696864
67,HFCL,-12.541254125412543
68,BBTC,-12.511355190354282
69,MARICO,-12.431285411312647
70,TCS,-12.404635844415713
71,SNOWMAN,-12.402496099843988
72,JKCEMENT,-12.386946633521978
73,SFCL,-12.272928666371286
74,JKIL,-12.172897196261687
75,IDFC,-12.160228898426332
76,GATI,-12.113764044943819
77,SINTEX,-12.09587513935341
78,GSKCONS,-12.085869386412236
79,TATAELXSI,-11.974359964474647
80,MANAPPURAM,-11.79626512310131
81,RAMCOSYS,-11.75326779734256
82,JCHAC,-11.70603497658118
83,GODREJIND,-11.409933884411412
84,DALMIABHA,-11.376285026854934
85,RADICO,-11.257102272727279
86,TATACHEM,-11.254934361516563
87,SJVN,-11.244377811094452
88,HEROMOTOCO,-11.23409460447215
89,PUNJLLOYD,-11.233480176211456
90,SOBHA,-11.230521225147758
91,AJANTPHARM,-11.226487178942856
92,ORISSAMINE,-11.06732281052825
93,JPPOWER,-10.989010989010989
94,ESCORTS,-10.806129247168556
95,KPIT,-10.781577110956048
96,BRIGADE,-10.77777777777778
97,CENTURYTEX,-10.758484131785927
98,JUBLFOOD,-10.72570971611355
99,LICHSGFIN,-10.716430716430724
100,GRANULES,-10.686395396629674
101,RCOM,-10.683760683760685
102,BAJAJFINSV,-10.680713525656175
103,TVSMOTOR,-10.666666666666664
104,RIIL,-10.617460886181773
105,JUBILANT,-10.546166678755355
