,Symbols,2_Week_Change
106,TV18BRDCST,-10.449438202247189
107,RALLIS,-10.423304506144733
108,DCBBANK,-10.393580435613295
109,TITAN,-10.33328871636997
110,ARVIND,-10.32359333494325
111,ALOKTEXT,-10.294117647058826
112,RTNPOWER,-10.17964071856287
113,MTNL,-10.126582278481013
114,CADILAHC,-10.095758125174182
115,ASIANPAINT,-10.057014674268636
116,GRUH,-10.01499250374812
117,NAVINFLUOR,-9.997107876217102
118,GODREJCP,-9.943469797697754
119,KANSAINER,-9.931416250819929
120,GODREJPROP,-9.915053613702833
121,BATAINDIA,-9.900270101807612
122,RELCAPITAL,-9.889369889369886
123,ADANIPORTS,-9.853420195439739
124,IFCI,-9.80769230769231
125,WOCKPHARMA,-9.754363057696114
126,SHOPERSTOP,-9.728997289972893
127,EICHERMOT,-9.720233139050789
128,RELINFRA,-9.621581806463483
129,BLISSGVS,-9.609803289261531
130,KALPATPOWR,-9.535208458009178
131,EQUITAS,-9.378499440089586
132,JBFIND,-9.355860612460404
133,STCINDIA,-9.324273310683274
134,EROSMEDIA,-9.310079507566032
135,EMAMILTD,-9.306351234389819
136,WONDERLA,-9.259491291818065
137,MARKSANS,-9.230769230769225
138,GLAXO,-9.147451977595265
139,AMBUJACEM,-9.051367025683511
140,REDINGTON,-9.043312708234174
141,RENUKA,-9.003215434083602
142,RAYMOND,-8.981688623746797
143,MOTHERSUMI,-8.967394052916852
144,DISHTV,-8.963001563314235
145,HDFC,-8.863260760221323
146,KSCL,-8.797314503993517
147,JISLJALEQS,-8.790697674418606
148,ULTRACEMCO,-8.752856102643934
149,8KMILES,-8.715189873417724
150,SHREECEM,-8.672065649074126
151,FORTIS,-8.599439775910362
152,TTKPRESTIG,-8.595559845559848
153,SUNTV,-8.546617915904935
154,OCL,-8.537824111200216
155,BOSCHLTD,-8.533604981019678
156,SPARC,-8.528237307472914
157,MCLEODRUSS,-8.466076696165189
158,CASTROLIND,-8.44240837696335
159,PHOENIXLTD,-8.433894708924548
160,TATACOFFEE,-8.427623878267664
161,CARBORUNIV,-8.373248181656917
162,LITL,-8.333333333333334
163,PIDILITIND,-8.249860879243178
164,ADANIPOWER,-8.226691042047532
165,BRFL,-8.21161960402467
166,GSFC,-8.206207259337189
167,RCF,-8.205128205128204
168,IDEA,-8.202099737532809
169,HSIL,-8.086756679115206
170,RPOWER,-8.067940552016994
171,BAJAJHIND,-8.059701492537311
172,TATAPOWER,-7.918263090676887
173,FLFL,-7.89003927168869
174,BLUESTARCO,-7.818855644942602
175,TORNTPHARM,-7.81840664193606
176,IPCALAB,-7.815959977036002
177,JMTAUTOLTD,-7.761732851985554
178,GMDCLTD,-7.75123929698063
179,AKZOINDIA,-7.732226258432802
180,ROLTA,-7.716785998408912
181,ACC,-7.664666710621744
182,VINATIORGA,-7.658935424662103
183,INFY,-7.614036090225566
184,CARERATING,-7.567147704509231
185,TEXRAIL,-7.561521252796423
186,JINDALPOLY,-7.544466992956911
187,EXIDEIND,-7.509578544061297
188,SUNPHARMA,-7.452248925148003
189,TRIDENT,-7.404255319148938
190,IGARASHI,-7.401906176506988
191,JETAIRWAYS,-7.398125953366745
192,WABCOINDIA,-7.395864601910553
193,INOXWIND,-7.393454202966795
194,ECLERX,-7.37434951584216
195,AARTIIND,-7.357992073976228
196,ZEEL,-7.341212645334879
197,RAJESHEXPO,-7.31681807637048
198,UPL,-7.265692175408416
199,PETRONET,-7.18878600823045
200,RDEL,-7.1790540540540535
201,UNICHEMLAB,-7.173502660030903
202,SRF,-7.161097229468139
203,NAVKARCORP,-7.098068723350893
204,BRITANNIA,-7.023049864883217
205,GREAVESCOT,-7.016274864376122
206,CHENNPETRO,-7.006935799395337
207,KPRMILL,-6.992151236391268
208,GRASIM,-6.868331088780685
209,LAXMIMACH,-6.86304317320736
210,RUCHISOYA,-6.78336980306346
211,GREENPLY,-6.774694018272723
212,GVKPIL,-6.766917293233084
213,SUVEN,-6.746548580359463
214,MHRIL,-6.726457399103139
215,GULFOILLUB,-6.705347135227799
216,ASTRAL,-6.63242518981688
217,JAGRAN,-6.608382617639494
218,JSWENERGY,-6.574923547400618
219,MAHLIFE,-6.5641146077970856
220,SEQUENT,-6.55930871956009
221,ATUL,-6.4543368120209665
222,NETWORK18,-6.4362336114422
223,GPPL,-6.417278725258311
224,CYIENT,-6.414053722806666
225,AHLUCONT,-6.392069731669796
226,HEXAWARE,-6.353861192570871
227,HCC,-6.336088154269965
228,ZYDUSWELL,-6.321806230351524
229,VTL,-6.293431231152485
230,ABIRLANUVO,-6.2599796777471335
231,JBCHEPHARM,-6.219227779217414
232,LT,-6.206523941379084
233,BALLARPUR,-6.079027355623101
234,RELAXO,-6.0403471733520995
235,BASF,-6.0328004982354235
236,BALKRISIND,-5.98041062346958
237,GEPIL,-5.872042068361093
238,TNPL,-5.855735959542188
239,BGRENERGY,-5.821917808219176
240,IDFCBANK,-5.777777777777774
241,TATAMTRDVR,-5.749928305133356
242,FEDERALBNK,-5.674191580231855
243,BEML,-5.669199298655747
244,SIEMENS,-5.651769874123518
245,AIAENG,-5.619585396039594
246,NITINFIRE,-5.5954088952654315
247,SIMPLEXINF,-5.575072552314037
248,CESC,-5.569257697509745
249,APOLLOHOSP,-5.541044776119403
250,TATAMOTORS,-5.530726256983239
251,BHARTIARTL,-5.472792849302194
252,SHARDACROP,-5.458433197048725
253,GLENMARK,-5.439151170891163
254,NHPC,-5.410447761194027
255,NBCC,-5.398082534389336
256,EVEREADY,-5.39476274857255
257,PVR,-5.39305674540041
258,TATASPONGE,-5.367207874148225
259,INOXLEISUR,-5.320844958150656
260,HMVL,-5.3145695364238446
261,APLLTD,-5.308358628859113
262,AEGISCHEM,-5.268416692489132
263,VGUARD,-5.234225621414909
264,CUMMINSIND,-5.182262528708557
265,EIHOTEL,-5.173189383715699
266,SCI,-5.158437730287399
267,SHILPAMED,-5.110220440881749
268,SCHNEIDER,-5.04953659316074
269,RELIANCE,-5.042893028105602
270,EIDPARRY,-5.004651162790694
271,SUPRAJIT,-5.000000000000005
272,AMARAJABAT,-4.973574454952818
273,CHAMBLFERT,-4.920634920634923
274,OMAXE,-4.8787699586043765
275,AUROPHARMA,-4.878048780487794
276,BIOCON,-4.872251931075462
277,MUTHOOTFIN,-4.862078573418777
278,INGERRAND,-4.857063558145989
279,SMLISUZU,-4.842916650445737
280,ZEELEARN,-4.810126582278477
281,TIDEWATER,-4.79887541505425
282,DEEPAKFERT,-4.780332346915547
283,PTC,-4.74898236092266
284,CIPLA,-4.729202652205462
285,PFC,-4.713940370668811
286,NATIONALUM,-4.690431519699812
287,ONGC,-4.688044614848375
288,HIMATSEIDE,-4.669464847848887
289,DIVISLAB,-4.598015469958601
290,PNCINFRA,-4.573804573804574
291,APOLLOTYRE,-4.5567112431897066
292,YESBANK,-4.511514579894668
293,RAMCOCEM,-4.503698886269398
294,ITDCEM,-4.501175680214974
295,MAHINDCIE,-4.480241631009315
296,ADANIENT,-4.409566517189839
297,SUNDARMFIN,-4.328009917596435
298,JUSTDIAL,-4.302091951305989
299,SHK,-4.284338896020546
300,WIPRO,-4.273966581390033
301,LAOPALA,-4.202132425409897
302,IOC,-4.095826893353942
303,RAIN,-4.019138755980864
304,NMDC,-4.004576659038902
305,MRPL,-3.986710963455143
306,SUZLON,-3.960396039603958
307,CCL,-3.960000000000002
308,BHUSANSTL,-3.9548022598870056
309,INFIBEAM,-3.953391593841032
310,GUJGASLTD,-3.8656195462478147
311,MAYURUNIQ,-3.829787234042548
312,TIMKEN,-3.8216560509554025
313,MERCK,-3.8144515973768045
314,ICRA,-3.814191849736132
315,SYNDIBANK,-3.7991858887381236
316,TRENT,-3.7863590772317006
317,HINDPETRO,-3.7735849056603703
318,ORIENTBANK,-3.739774055317489
319,FINPIPE,-3.718916518650089
320,TVSSRICHAK,-3.7036031756802554
321,VSTIND,-3.679430173013305
322,CAPLIPOINT,-3.6502206177296372
323,DREDGECORP,-3.6223929747530104
324,ANDHRABANK,-3.54924578527063
325,MANPASAND,-3.5229789590254614
326,FINCABLES,-3.484281012370905
327,DABUR,-3.397830076634145
328,HINDUNILVR,-3.3453887884267632
329,BAJAJCORP,-3.3181762320265453
330,ASHOKLEY,-3.213296398891973
331,KWALITY,-3.1974701335207385
332,SANOFI,-3.1903555917169895
333,DRREDDY,-3.187203615335439
334,JKTYRE,-3.1549096065225215
335,RKFORGE,-3.0475052285628887
336,GESHIP,-3.015277405521308
337,IOB,-3.0018761726078695
338,BPCL,-2.9071070921455697
339,IDBI,-2.855200543847715
340,MINDTREE,-2.844362885652019
341,VRLLOG,-2.8422876949739995
342,PIIND,-2.8158195346826806
343,ASTRAZEN,-2.798816271254449
344,SYNGENE,-2.7732741701510366
345,3MINDIA,-2.7461342878870516
346,GAYAPROJ,-2.7430476623475064
347,NLCINDIA,-2.726146220570016
348,MMTC,-2.656748140276302
349,DBCORP,-2.650223038572559
350,TECHNO,-2.6438070821983657
351,NIITTECH,-2.642251444021138
352,BAJAJHLDNG,-2.6407642142004226
353,GSPL,-2.60152284263959
354,UNIONBANK,-2.5397900440230274
355,DEN,-2.501603592046187
356,DYNAMATECH,-2.501539408866995
357,BHARATFORG,-2.4918114478062314
358,THOMASCOOK,-2.4384579656293544
359,APARINDS,-2.4371472550025652
360,MONSANTO,-2.411192121005486
361,PRAJIND,-2.2248947684906897
362,GRINDWELL,-2.1935096153846185
363,BIRLACORPN,-2.1699935608499707
364,SUNDRMFAST,-2.133295492171605
365,HONAUT,-2.1149430462383463
366,COLPAL,-2.075599020188502
367,FAGBEARING,-2.0554949550040864
368,ALBK,-2.05162144275314
369,OIL,-2.043269230769231
370,BHEL,-2.0151133501259326
371,LUPIN,-1.9854200960795483
372,LINDEINDIA,-1.9440719041278243
373,PGHH,-1.9264135464931809
374,SOUTHBANK,-1.8947368421052602
375,COFFEEDAY,-1.8464309840126198
376,CONCOR,-1.7811057395223728
377,BLUEDART,-1.7390620081838142
378,TATACOMM,-1.7235951518967312
379,MPHASIS,-1.677721420210695
380,ABB,-1.6711045817647434
381,INDIGO,-1.6600408294831894
382,SYMPHONY,-1.658768701016476
383,OFSS,-1.6510430523169377
384,TORNTPOWER,-1.5868436237738026
385,TUBEINVEST,-1.5867927552492351
386,CRISIL,-1.5850242536038888
387,TECHM,-1.4346378973946976
388,RECLTD,-1.4084507042253562
389,HINDZINC,-1.265072148645973
390,SAIL,-1.2487992315081626
391,GDL,-1.214329083181542
392,GILLETTE,-1.200355207153138
393,PFIZER,-1.098058544867053
394,ASHOKA,-1.0238907849829386
395,SADBHAV,-0.9324009324009405
396,FDC,-0.9078830823737871
397,NAUKRI,-0.8904534686508973
398,MFSL,-0.8528784648187553
399,NH,-0.8405797101449209
400,LAKSHVILAS,-0.8074935400516795
401,GUJFLUORO,-0.7488422504680287
402,PERSISTENT,-0.7366625310173698
403,ESSELPACK,-0.643020120306995
404,TVTODAY,-0.6290250112325962
405,INDUSINDBK,-0.6209368228038045
406,IGL,-0.604651162790703
407,CANBK,-0.5896414342629555
408,ADANITRANS,-0.5524861878453039
409,ENGINERSIN,-0.5012066085019575
410,KTKBANK,-0.4922067268252736
411,JINDALSTEL,-0.4651162790697599
412,KOTAKBANK,-0.45767986818819795
413,NTPC,-0.36124794745485145
414,JYOTHYLAB,-0.3486750348675035
415,CENTRALBK,-0.32804811372334297
416,SUPREMEIND,-0.31563209480037907
417,APLAPOLLO,-0.2890488656195438
418,COALINDIA,-0.23091133004926107
419,CUB,-0.20112639632091495
420,ICICIBANK,-0.1625428932635165
421,KRBL,-0.14632107023411134
422,ITC,-0.061707113874659596
423,FSL,0.0
424,ABFRL,0.0
425,VIDEOIND,0.0
426,BEL,0.06916692284044448
427,TRITURBINE,0.07867820613690679
428,HCLTECH,0.12448404638669272
429,HATHWAY,0.16207455429496648
430,UBL,0.22413793103448798
431,DENABANK,0.26420079260238155
432,LALPATHLAB,0.2801239336191125
433,IPAPPM,0.3410059676044331
434,BALRAMCHIN,0.34662045060657837
435,RELIGARE,0.37369207772795215
436,DISHMAN,0.47491224447656644
437,ALKEM,0.7138917825847088
438,SITINET,0.8645533141210292
439,SONATSOFTW,0.9201840368073585
440,GAIL,1.1190586063682564
441,HINDCOPPER,1.2562814070351758
442,HDFCBANK,1.3303681347047378
443,CORPBANK,1.4423076923076956
444,MOIL,1.4822738386308139
445,SKFINDIA,1.5407007703503883
446,KSBPUMPS,1.6635545747750728
447,ALLCARGO,1.7023613399231161
448,STAR,1.778287681055491
449,POLARIS,2.0249221183800623
450,PFS,2.3195876288659942
451,AXISBANK,2.4337646333949525
452,CROMPGREAV,2.5423728813559356
453,BANKBARODA,2.72
454,INDOCO,3.2599118942731278
455,WABAG,3.4218229534672315
456,VAKRANGEE,3.569303985722773
457,THERMAX,3.7324398989008407
458,JSWSTEEL,3.7525996925580976
459,WELCORP,3.8787023977433
460,ZENSARTECH,4.026115342763874
461,POWERGRID,4.093234792495729
462,CEATLTD,4.977971754436534
463,TATASTEEL,5.191762239486992
464,JSWHL,5.49050114641336
465,INFRATEL,5.656010415159847
466,SBIN,5.813953488372093
467,SBT,5.963344579192109
468,SBBJ,5.97892322030252
469,BANKINDIA,6.269046582498914
470,MYSOREBANK,6.33513118200932
471,NATCOPHARM,6.337363862447483
472,UCOBANK,6.609195402298863
473,DHANUKA,6.819327428530283
474,BALMLAWRIE,7.000322893122382
475,INDIANB,7.741935483870968
476,PNB,8.162556443209448
477,SREINFRA,8.384879725085902
478,MRF,9.63662220887655
479,VIJAYABANK,10.621468926553678
480,CAIRN,11.570796460176993
481,VEDL,13.425463305752066
482,KEC,13.645538958417445
483,HINDALCO,15.135315736719013
484,SWANENERGY,29.840656687590528
