,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
STCINDIA,2016-12-22,2017-01-03,181.63,39.21,119.6,218.25,82.48,-4.98,20.0
MMTC,2016-12-22,2017-01-03,53.5,4.37,48.55,61.75,27.19,-0.76,16.86
GODFRYPHLP,2016-12-22,2017-01-03,950.23,82.56,843.4,1027.75,21.86,-3.24,20.0
MANAPPURAM,2016-12-22,2017-01-03,64.66,4.12,60.5,72.7,20.17,-3.61,6.63
BAJAJFINSV,2016-12-22,2017-01-03,2772.59,150.58,2550.1,3016.65,18.3,-4.13,4.8
KALPATPOWR,2016-12-22,2017-01-03,243.93,11.04,224.55,265.45,18.21,-5.23,7.55
ANANTRAJ,2016-12-22,2017-01-03,39.09,2.13,37.95,44.55,17.39,-3.15,8.13
NATIONALUM,2016-12-22,2017-01-03,60.96,4.07,57.05,66.75,17.0,-5.45,7.23
BAJFINANCE,2016-12-22,2017-01-03,823.25,33.85,765.4,884.0,15.5,-2.94,5.69
DELTACORP,2016-12-22,2017-01-03,106.0,7.56,102.35,117.95,15.24,-4.25,11.49
CHENNPETRO,2016-12-22,2017-01-03,270.41,13.84,264.85,303.85,14.73,-2.36,7.42
DREDGECORP,2016-12-22,2017-01-03,394.81,21.25,376.85,431.4,14.48,-3.24,15.28
NBCC,2016-12-22,2017-01-03,232.96,11.88,222.95,254.45,14.13,-1.63,6.07
MRPL,2016-12-22,2017-01-03,94.07,5.12,89.9,102.3,13.79,-2.65,8.91
ESCORTS,2016-12-22,2017-01-03,295.88,14.59,287.25,326.65,13.72,-3.7,8.11
BAJAJHIND,2016-12-22,2017-01-03,13.62,0.71,13.3,15.1,13.53,-1.88,6.06
JAICORPLTD,2016-12-22,2017-01-03,69.14,3.04,66.05,74.6,12.94,-1.86,7.24
SRTRANSFIN,2016-12-22,2017-01-03,827.59,35.66,791.45,892.95,12.82,-2.29,3.63
NILKAMAL,2016-12-22,2017-01-03,1292.41,67.7,1277.5,1441.1,12.81,-2.38,11.45
IOC,2016-12-22,2017-01-03,319.06,11.14,306.3,345.25,12.72,-1.69,5.44
BALRAMCHIN,2016-12-22,2017-01-03,121.87,5.0,116.25,130.95,12.65,-2.43,3.99
CENTURYPLY,2016-12-22,2017-01-03,164.39,5.45,155.1,174.3,12.38,-3.6,5.54
TITAN,2016-12-22,2017-01-03,321.21,11.62,309.8,348.15,12.38,-3.1,4.25
SMLISUZU,2016-12-22,2017-01-03,1070.27,36.31,1022.0,1146.95,12.23,-2.92,4.37
JKCEMENT,2016-12-22,2017-01-03,679.49,36.04,651.9,731.4,12.2,-1.96,6.18
BHARATFIN,2016-12-22,2017-01-03,563.47,42.2,554.2,621.25,12.1,-7.63,10.39
HCC,2016-12-22,2017-01-03,38.68,1.98,37.9,42.45,12.01,-5.5,5.73
CAPF,2016-12-22,2017-01-03,543.85,24.38,525.7,588.4,11.93,-2.94,4.34
RAYMOND,2016-12-22,2017-01-03,489.16,18.82,470.65,526.1,11.78,-2.22,6.47
RENUKA,2016-12-22,2017-01-03,13.47,0.68,13.2,14.75,11.74,-1.89,6.14
SONATSOFTW,2016-12-22,2017-01-03,189.49,6.26,180.35,201.4,11.67,-4.02,4.74
