,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
APARINDS,2016-11-08,2017-01-03,572.82,8.22,575.7,585.95,1.78,-2.6,3.06
SUPRAJIT,2016-11-08,2017-01-03,191.31,6.84,202.75,206.15,1.68,-5.03,6.91
TATAPOWER,2016-11-08,2017-01-03,73.68,2.72,74.4,75.65,1.68,-3.95,3.84
INFY,2016-11-08,2017-01-03,969.8,30.33,982.6,993.85,1.14,-2.47,5.07
JUBILANT,2016-11-08,2017-01-03,636.13,35.66,631.0,638.0,1.11,-6.48,6.68
UCOBANK,2016-11-08,2017-01-03,34.09,1.2,33.3,33.65,1.05,-4.91,10.98
SAIL,2016-11-08,2017-01-03,50.77,1.82,51.15,51.65,0.98,-3.35,5.93
AIAENG,2016-11-08,2017-01-03,1268.97,34.6,1280.35,1292.4,0.94,-2.93,5.27
TECHNO,2016-11-08,2017-01-03,300.72,3.98,300.55,303.25,0.9,-2.86,2.64
GLAXO,2016-11-08,2017-01-03,2705.1,38.11,2722.05,2745.55,0.86,-2.95,1.91
RECLTD,2016-11-08,2017-01-03,129.78,5.0,125.4,126.4,0.8,-5.56,6.37
CAIRN,2016-11-08,2017-01-03,247.07,10.14,245.15,246.85,0.69,-7.32,4.7
KITEX,2016-11-08,2017-01-03,397.66,13.31,403.85,406.6,0.68,-4.37,5.03
SJVN,2016-11-08,2017-01-03,30.46,0.98,29.8,30.0,0.67,-3.76,2.94
GEPIL,2016-11-08,2017-01-03,475.83,13.2,500.7,503.5,0.56,-3.75,5.69
PGHH,2016-11-08,2017-01-03,6765.99,173.91,6896.75,6935.7,0.56,-2.46,3.15
IDEA,2016-11-08,2017-01-03,73.41,2.53,73.0,73.4,0.55,-6.0,4.55
GAIL,2016-11-08,2017-01-03,428.3,9.34,439.1,441.45,0.54,-2.45,3.64
TORNTPOWER,2016-11-08,2017-01-03,175.21,5.88,177.35,178.15,0.45,-2.9,3.92
PTC,2016-11-08,2017-01-03,72.41,2.65,73.7,74.0,0.41,-3.7,2.54
KPIT,2016-11-08,2017-01-03,132.37,3.52,135.05,135.55,0.37,-4.02,3.36
PRAJIND,2016-11-08,2017-01-03,78.05,3.13,83.75,84.0,0.3,-6.83,5.07
JBCHEPHARM,2016-11-08,2017-01-03,344.95,9.04,352.7,353.65,0.27,-7.4,5.15
RIIL,2016-11-08,2017-01-03,378.64,16.75,396.8,397.85,0.26,-5.04,10.74
IDBI,2016-11-08,2017-01-03,69.13,1.55,69.7,69.85,0.22,-5.02,4.73
GRUH,2016-11-08,2017-01-03,309.75,11.14,326.1,326.8,0.21,-5.98,4.18
CUMMINSIND,2016-11-08,2017-01-03,793.87,21.17,841.25,842.9,0.2,-3.54,3.32
FINPIPE,2016-11-08,2017-01-03,426.7,13.52,444.25,445.0,0.17,-4.96,7.42
VIDEOIND,2016-11-08,2017-01-03,103.96,0.23,104.1,104.25,0.14,-0.67,0.68
SUNPHARMA,2016-11-08,2017-01-03,666.88,34.23,635.4,636.1,0.11,-5.97,4.64
GODREJCP,2016-11-08,2017-01-03,1454.45,35.88,1531.45,1533.2,0.11,-6.58,4.8
HINDZINC,2016-11-08,2017-01-03,264.47,13.65,259.15,259.4,0.1,-4.46,6.03
ABFRL,2016-11-08,2017-01-03,220.35,0.0,220.35,220.35,0.0,0.0,0.0
FSL,2016-11-08,2017-01-03,34.75,0.0,34.75,34.75,0.0,0.0,0.0
ZENSARTECH,2016-11-08,2017-01-03,978.02,27.6,946.35,945.95,-0.04,-2.89,2.53
BATAINDIA,2016-11-08,2017-01-03,425.96,15.18,463.45,463.15,-0.06,-6.04,3.58
VEDL,2016-11-08,2017-01-03,223.09,11.13,219.85,219.65,-0.09,-8.81,5.35
LUPIN,2016-11-08,2017-01-03,1476.02,37.59,1507.6,1505.5,-0.14,-2.96,5.24
BHARTIARTL,2016-11-08,2017-01-03,310.21,11.76,304.9,304.45,-0.15,-4.04,5.91
SADBHAV,2016-11-08,2017-01-03,273.59,5.36,276.3,275.85,-0.16,-3.29,3.73
BANKBARODA,2016-11-08,2017-01-03,159.73,7.2,148.95,148.6,-0.23,-8.96,9.13
SUVEN,2016-11-08,2017-01-03,174.52,6.23,176.3,175.85,-0.26,-4.36,3.94
GLENMARK,2016-11-08,2017-01-03,896.45,20.25,896.4,893.15,-0.36,-4.0,2.69
