,Symbols,Week_Change
173,TTKPRESTIG,-4.774913686186447
174,PTC,-4.74898236092266
175,KPRMILL,-4.732883817427386
176,PUNJLLOYD,-4.728132387706856
177,RENUKA,-4.713804713804709
178,AIAENG,-4.701839340805234
179,ALOKTEXT,-4.687500000000011
180,JBFIND,-4.68576504552521
181,SCI,-4.666666666666675
182,PHOENIXLTD,-4.640243060350783
183,RAMCOCEM,-4.635492774801097
184,PIDILITIND,-4.613827017645354
185,ZEEL,-4.562549485352338
186,SINTEX,-4.539951573849879
187,ADANIPORTS,-4.519579092634128
188,IGARASHI,-4.46941642191291
189,BLISSGVS,-4.399727148703949
190,REDINGTON,-4.354354354354363
191,BGRENERGY,-4.3478260869565215
192,LAOPALA,-4.3478260869565135
193,MINDTREE,-4.314921495538228
194,CUMMINSIND,-4.303120356612189
195,AHLUCONT,-4.24825174825174
196,FORTIS,-4.226592309950096
197,IDEA,-4.178082191780818
198,AJANTPHARM,-4.161596998166111
199,CCL,-4.151696606786429
200,JINDALPOLY,-4.134175021661094
201,HTMEDIA,-4.102878138395601
202,RCF,-4.072883172561626
203,JISLJALEQS,-4.06066536203523
204,HIMATSEIDE,-4.0316901408450665
205,MMTC,-3.98322851153041
206,HCC,-3.9548022598870016
207,ITDCEM,-3.952702702702699
208,SONATSOFTW,-3.935258648048249
209,JKTYRE,-3.90432641575801
210,WABCOINDIA,-3.879144443833517
211,SUNDRMFAST,-3.8521116288291766
212,GAYAPROJ,-3.8360680302689776
213,TORNTPOWER,-3.834226106568922
214,MOIL,-3.8093858632676643
215,SIMPLEXINF,-3.782101167315168
216,RDEL,-3.7653239929947433
217,LITL,-3.749999999999998
218,BAJAJHIND,-3.749999999999998
219,ROLTA,-3.7344398340248963
220,INOXLEISUR,-3.7284701114488303
221,EROSMEDIA,-3.6774720784527375
222,HINDZINC,-3.6272429095118572
223,SUNDARMFIN,-3.62521119518107
224,TNPL,-3.6239782016348805
225,VINATIORGA,-3.530027019959906
226,ESCORTS,-3.5029551679400415
227,UBL,-3.4866345674912833
228,ESSELPACK,-3.4857948821277476
229,SUPRAJIT,-3.4771886559802767
230,GEPIL,-3.4751348112642257
231,CHENNPETRO,-3.4527326440177335
232,PERSISTENT,-3.4469754110725637
233,GUJFLUORO,-3.4135583469172626
234,JAGRAN,-3.4042553191489393
235,CASTROLIND,-3.383977900552484
236,WONDERLA,-3.3368926855312333
237,ABAN,-3.3283550245359432
238,MOTHERSUMI,-3.318906419146819
239,OMAXE,-3.248120300751883
240,LUPIN,-3.236932873441228
241,NBCC,-3.2196162046908365
242,RPOWER,-3.1319910514541514
243,TATAPOWER,-3.0913978494623806
244,ADANIPOWER,-3.088803088803078
245,NAVINFLUOR,-3.0871758672950325
246,BAJAJHLDNG,-3.070345899727948
247,COLPAL,-3.0691451332856774
248,SRF,-3.0592350478811934
249,INGERRAND,-3.0200155597991403
250,SEQUENT,-3.0167142274765615
