,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
ZYDUSWELL,2016-11-10,2017-01-03,847.91,14.67,833.85,868.05,4.1,-2.03,4.29
3MINDIA,,,,,,,,,
8KMILES,,,,,,,,,
AARTIIND,,,,,,,,,
ABAN,,,,,,,,,
ABB,,,,,,,,,
ABFRL,,,,,,,,,
ABIRLANUVO,,,,,,,,,
ACC,,,,,,,,,
ADANIENT,,,,,,,,,
ADANIPORTS,,,,,,,,,
ADANIPOWER,,,,,,,,,
ADANITRANS,,,,,,,,,
AEGISCHEM,,,,,,,,,
AHLUCONT,,,,,,,,,
AIAENG,,,,,,,,,
AJANTPHARM,,,,,,,,,
AKZOINDIA,,,,,,,,,
ALBK,,,,,,,,,
ALKEM,,,,,,,,,
ALLCARGO,,,,,,,,,
ALOKTEXT,,,,,,,,,
AMARAJABAT,,,,,,,,,
AMBUJACEM,,,,,,,,,
AMTEKAUTO,,,,,,,,,
ANANTRAJ,,,,,,,,,
ANDHRABANK,,,,,,,,,
APARINDS,,,,,,,,,
APLAPOLLO,,,,,,,,,
APLLTD,,,,,,,,,
APOLLOHOSP,,,,,,,,,
APOLLOTYRE,,,,,,,,,
ARVIND,,,,,,,,,
ASHOKA,,,,,,,,,
ASHOKLEY,,,,,,,,,
ASIANPAINT,,,,,,,,,
ASTRAL,,,,,,,,,
ASTRAZEN,,,,,,,,,
ATUL,,,,,,,,,
AUROPHARMA,,,,,,,,,
AVANTIFEED,,,,,,,,,
AXISBANK,,,,,,,,,
BAJAJCORP,,,,,,,,,
BAJAJELEC,,,,,,,,,
BAJAJFINSV,,,,,,,,,
BAJAJHIND,,,,,,,,,
BAJAJHLDNG,,,,,,,,,
BAJFINANCE,,,,,,,,,
BALKRISIND,,,,,,,,,
BALLARPUR,,,,,,,,,
BALMLAWRIE,,,,,,,,,
BALRAMCHIN,,,,,,,,,
BANKBARODA,,,,,,,,,
BANKINDIA,,,,,,,,,
BASF,,,,,,,,,
BATAINDIA,,,,,,,,,
BBTC,,,,,,,,,
BEL,,,,,,,,,
BEML,,,,,,,,,
BERGEPAINT,,,,,,,,,
BFUTILITIE,,,,,,,,,
BGRENERGY,,,,,,,,,
BHARATFIN,,,,,,,,,
BHARATFORG,,,,,,,,,
BHARTIARTL,,,,,,,,,
BHEL,,,,,,,,,
