,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
SINTEX,2016-08-18,2017-01-03,78.31,4.71,72.75,81.0,11.34,-10.77,7.78
BAJAJFINSV,2016-08-18,2017-01-03,3010.91,204.93,2711.7,3016.65,11.25,-6.42,4.8
ADANIPOWER,2016-08-18,2017-01-03,27.54,2.16,27.55,30.65,11.25,-8.41,11.45
KSCL,2016-08-18,2017-01-03,392.24,29.19,376.35,418.05,11.08,-8.54,7.26
GMDCLTD,2016-08-18,2017-01-03,96.56,7.18,85.35,94.6,10.84,-6.37,7.88
RAJESHEXPO,2016-08-18,2017-01-03,458.21,17.27,430.0,476.5,10.81,-5.29,2.84
BPCL,2016-08-18,2017-01-03,626.08,30.71,587.1,650.55,10.81,-3.85,3.98
BIOCON,2016-08-18,2017-01-03,921.14,35.83,855.8,945.3,10.46,-4.99,4.73
COROMANDEL,2016-08-18,2017-01-03,264.04,14.31,272.45,300.3,10.22,-4.61,5.51
TEXRAIL,2016-08-18,2017-01-03,107.66,4.85,104.7,115.35,10.17,-7.69,5.52
HIMATSEIDE,2016-08-18,2017-01-03,276.17,12.2,271.1,298.45,10.09,-5.45,4.28
TIMKEN,2016-08-18,2017-01-03,568.59,21.29,583.95,642.75,10.07,-6.0,5.25
BHARATFORG,2016-08-18,2017-01-03,896.76,36.96,840.15,922.1,9.75,-5.39,5.27
MFSL,2016-08-18,2017-01-03,551.41,22.08,507.0,555.0,9.47,-11.67,8.04
CARERATING,2016-08-18,2017-01-03,1354.05,104.96,1205.05,1318.25,9.39,-5.76,7.86
NAVINFLUOR,2016-08-18,2017-01-03,2390.27,114.19,2326.1,2543.45,9.34,-6.12,14.17
CHENNPETRO,2016-08-18,2017-01-03,279.53,15.29,278.05,303.85,9.28,-10.56,7.42
ZEELEARN,2016-08-18,2017-01-03,37.63,1.97,37.4,40.85,9.22,-6.95,11.14
SCHNEIDER,2016-08-18,2017-01-03,143.79,10.17,135.2,147.2,8.88,-5.24,8.36
ICRA,2016-08-18,2017-01-03,3974.58,163.13,3628.7,3947.85,8.8,-2.83,5.7
TUBEINVEST,2016-08-18,2017-01-03,589.26,31.88,536.1,582.8,8.71,-4.36,5.78
DALMIABHA,2016-08-18,2017-01-03,1704.18,214.36,1445.5,1566.45,8.37,-12.49,7.75
KWALITY,2016-08-18,2017-01-03,130.78,10.56,121.1,131.15,8.3,-10.18,7.47
SJVN,2016-08-18,2017-01-03,29.79,1.58,27.7,30.0,8.3,-4.01,4.29
SUNTV,2016-08-18,2017-01-03,496.5,30.34,484.05,523.55,8.16,-6.08,12.8
RADICO,2016-08-18,2017-01-03,118.89,14.46,102.65,110.95,8.09,-10.66,7.77
MOTILALOFS,2016-08-18,2017-01-03,514.96,34.74,480.9,518.8,7.88,-9.65,8.72
DREDGECORP,2016-08-18,2017-01-03,405.03,19.8,400.5,431.4,7.72,-6.92,15.28
BASF,2016-08-18,2017-01-03,1136.86,66.78,1074.1,1156.2,7.64,-5.37,6.77
CHAMBLFERT,2016-08-18,2017-01-03,63.63,4.47,65.8,70.8,7.6,-4.93,9.06
SAIL,2016-08-18,2017-01-03,49.77,1.9,48.0,51.65,7.6,-7.28,6.37
BOMDYEING,2016-08-18,2017-01-03,50.52,6.11,45.45,48.9,7.59,-9.77,7.63
ALOKTEXT,2016-08-18,2017-01-03,3.17,0.33,3.3,3.55,7.58,-9.46,19.64
JSWHL,2016-08-18,2017-01-03,1290.81,43.0,1270.75,1366.6,7.54,-5.3,7.34
ALKEM,2016-08-18,2017-01-03,1647.6,64.26,1543.75,1655.15,7.22,-8.34,4.25
RELIANCE,2016-08-18,2017-01-03,1043.63,36.3,1018.05,1089.4,7.01,-3.58,2.87
CRISIL,2016-08-18,2017-01-03,2222.21,75.54,2129.2,2274.5,6.82,-2.9,6.78
HCLTECH,2016-08-18,2017-01-03,794.33,20.03,785.8,835.15,6.28,-3.24,4.45
SREINFRA,2016-08-18,2017-01-03,75.66,3.54,75.25,79.95,6.25,-9.78,8.69
GRUH,2016-08-18,2017-01-03,322.17,16.3,307.9,326.8,6.14,-5.98,9.46
GESHIP,2016-08-18,2017-01-03,363.59,10.11,350.15,371.5,6.1,-5.32,5.62
APARINDS,2016-08-18,2017-01-03,568.67,12.51,552.95,585.95,5.97,-7.13,3.76
KEC,2016-08-18,2017-01-03,132.38,6.81,135.0,142.85,5.81,-4.86,10.26
NAUKRI,2016-08-18,2017-01-03,876.79,35.52,836.05,884.35,5.78,-4.83,7.61
ORISSAMINE,2016-08-18,2017-01-03,2147.57,115.54,2148.2,2272.35,5.78,-6.2,20.0
IPAPPM,2016-08-18,2017-01-03,300.34,12.68,287.6,304.1,5.74,-6.57,9.42
ASHOKA,2016-08-18,2017-01-03,159.03,9.39,150.9,159.5,5.7,-5.02,4.55
GODREJIND,2016-08-18,2017-01-03,418.14,22.67,410.8,434.05,5.66,-5.1,4.4
TIDEWATER,2016-08-18,2017-01-03,5691.92,247.27,5331.6,5632.1,5.64,-3.61,5.65
APOLLOTYRE,2016-08-18,2017-01-03,198.53,15.28,177.35,187.25,5.58,-4.51,4.87
NBCC,2016-08-18,2017-01-03,239.94,14.16,241.95,254.45,5.17,-5.59,7.96
TECHM,2016-08-18,2017-01-03,453.66,21.62,469.5,491.55,4.7,-4.33,6.24
TNPL,2016-08-18,2017-01-03,343.65,19.26,326.65,341.6,4.58,-6.57,8.02
VINATIORGA,2016-08-18,2017-01-03,591.71,21.8,570.55,596.45,4.54,-3.78,5.83
SHK,2016-08-18,2017-01-03,303.82,13.52,291.95,305.15,4.52,-6.66,8.14
NLCINDIA,2016-08-18,2017-01-03,76.39,2.56,75.25,78.55,4.39,-5.41,4.89
DYNAMATECH,2016-08-18,2017-01-03,3021.93,167.05,2891.15,3017.0,4.35,-8.44,17.16
BBTC,2016-08-18,2017-01-03,546.52,55.73,504.15,525.9,4.31,-9.16,15.26
PIIND,2016-08-18,2017-01-03,825.42,26.63,793.55,827.35,4.26,-7.16,10.06
NITINFIRE,2016-08-18,2017-01-03,27.77,3.17,23.6,24.6,4.24,-8.35,14.74
SUPRAJIT,2016-08-18,2017-01-03,199.54,11.2,197.8,206.15,4.22,-5.03,8.98
ESCORTS,2016-08-18,2017-01-03,341.98,36.1,313.45,326.65,4.21,-10.64,8.33
SUNDRMFAST,2016-08-18,2017-01-03,295.23,15.63,281.6,293.4,4.19,-6.52,9.13
TATASTEEL,2016-08-18,2017-01-03,397.11,19.33,387.2,403.3,4.16,-7.84,9.43
EIDPARRY,2016-08-18,2017-01-03,252.64,8.9,257.1,267.75,4.14,-5.98,6.25
