,Stock_Name,Stock_Symbol
0,Apollo Hospital,APOLLOHOSP
1,Fortis Health,FORTIS
2,Healthcare Glob,HCG
3,Indraprastha,INDRAMEDCO
4,Lotus Eye Care,LOTUSEYE
5,Narayana Hruda,NH
6,Opto Circuits,OPTOCIRCUI
7,Poly Medicure,POLYMED
8,Thyrocare Techn,THYROCARE
